arm,boundary_conditional_mae,boundary_conditional_rmse,boundary_false_count,boundary_found_rate,boundary_missed_count,boundary_predicted_found,boundary_reference_found,complementarity_max,delta_rmse,equation_max,fb_max,mae,max_abs_error,max_normalized_complementarity,max_normalized_equation_violation,max_normalized_lcp_residual,max_normalized_obstacle_violation,network_spec,obstacle_max,reference_source,regime_id,region,relative_l2,rmse,sample_count,scaled_gamma_rmse,seed,split,variant,vi_p95
D,2.1431150119545634,2.14321424217144,0,0.05785123966942149,114,6,120,0.00016582599012326417,0.0032316880217592163,0.0032630440154871945,0.0011694896400794856,0.0,0.0,1.5178915067263482e-07,1.883522882866116e-05,0.0011184996891322606,0.0011184996891322606,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.0033182735756234205,DIRK_policy_sinh_M480_N960,call_T050_s060_r001_q010,maturity_row,0.0,0.0,43,0.030913733671814565,101,stress_holdout,etc_fb_mixture,0.0023111859349975216
D,2.1431150119545634,2.14321424217144,0,0.05785123966942149,114,6,120,0.00016582599012326417,0.0032316880217592163,0.0032630440154871945,0.0011694896400794856,0.0005576018184059417,0.0033182735756234205,1.5178915067263482e-07,1.883522882866116e-05,0.0011184996891322606,0.0011184996891322606,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.0033182735756234205,DIRK_policy_sinh_M480_N960,call_T050_s060_r001_q010,strict_interior,0.0024576327562311736,0.0008735381085460488,4091,0.030913733671814565,101,stress_holdout,etc_fb_mixture,0.0023111859349975216
D,2.6533961767621337,2.654390375714947,0,0.1652892561983471,101,19,120,0.00016207807436843607,0.0029516586990862184,0.0012205825400083484,0.0015569951273112876,0.0006791273620646896,0.003993845519563388,1.5355950863788775e-07,1.566504627381214e-05,0.0014204811973714095,0.0014204811973714095,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.003993845519563388,DIRK_policy_sinh_M480_N960,call_T050_s060_r005_q010,all,0.0030877341285217427,0.0011273338879779307,5203,0.02848717441746359,101,stress_holdout,etc_fb_mixture,0.0029980079307740555
D,2.6533961767621337,2.654390375714947,0,0.1652892561983471,101,19,120,0.00016207807436843607,0.0029516586990862184,0.0012205825400083484,0.0015569951273112876,0.0018206286902268662,0.003993845519563388,1.5355950863788775e-07,1.566504627381214e-05,0.0014204811973714095,0.0014204811973714095,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.003993845519563388,DIRK_policy_sinh_M480_N960,call_T050_s060_r005_q010,exercise_region,0.003985852529599741,0.0022799893078902112,926,0.02848717441746359,101,stress_holdout,etc_fb_mixture,0.0029980079307740555
D,2.6533961767621337,2.654390375714947,0,0.1652892561983471,101,19,120,0.00016207807436843607,0.0029516586990862184,0.0012205825400083484,0.0015569951273112876,0.0004319844511743049,0.002716436198935801,1.5355950863788775e-07,1.566504627381214e-05,0.0014204811973714095,0.0014204811973714095,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.003993845519563388,DIRK_policy_sinh_M480_N960,call_T050_s060_r005_q010,continuation_region,0.0021460481302406804,0.000648504008035191,4277,0.02848717441746359,101,stress_holdout,etc_fb_mixture,0.0029980079307740555
D,2.6533961767621337,2.654390375714947,0,0.1652892561983471,101,19,120,0.00016207807436843607,0.0029516586990862184,0.0012205825400083484,0.0015569951273112876,0.002225404494827232,0.0036704773392848278,1.5355950863788775e-07,1.566504627381214e-05,0.0014204811973714095,0.0014204811973714095,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.003993845519563388,DIRK_policy_sinh_M480_N960,call_T050_s060_r005_q010,boundary_near,0.003953668489934958,0.0023615675594566574,390,0.02848717441746359,101,stress_holdout,etc_fb_mixture,0.0029980079307740555
D,2.6533961767621337,2.654390375714947,0,0.1652892561983471,101,19,120,0.00016207807436843607,0.0029516586990862184,0.0012205825400083484,0.0015569951273112876,0.00011443269410518509,0.00025979384601493294,1.5355950863788775e-07,1.566504627381214e-05,0.0014204811973714095,0.0014204811973714095,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.003993845519563388,DIRK_policy_sinh_M480_N960,call_T050_s060_r005_q010,payoff_kink_near,0.0011635088162830348,0.0001342842764615209,605,0.02848717441746359,101,stress_holdout,etc_fb_mixture,0.0029980079307740555
D,2.6533961767621337,2.654390375714947,0,0.1652892561983471,101,19,120,0.00016207807436843607,0.0029516586990862184,0.0012205825400083484,0.0015569951273112876,0.0,0.0,1.5355950863788775e-07,1.566504627381214e-05,0.0014204811973714095,0.0014204811973714095,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.003993845519563388,DIRK_policy_sinh_M480_N960,call_T050_s060_r005_q010,maturity_row,0.0,0.0,43,0.02848717441746359,101,stress_holdout,etc_fb_mixture,0.0029980079307740555
D,2.6533961767621337,2.654390375714947,0,0.1652892561983471,101,19,120,0.00016207807436843607,0.0029516586990862184,0.0012205825400083484,0.0015569951273112876,0.0006222188831174714,0.003993845519563388,1.5355950863788775e-07,1.566504627381214e-05,0.0014204811973714095,0.0014204811973714095,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.003993845519563388,DIRK_policy_sinh_M480_N960,call_T050_s060_r005_q010,strict_interior,0.0028606294727367685,0.0010299222573519411,4173,0.02848717441746359,101,stress_holdout,etc_fb_mixture,0.0029980079307740555
D,nan,nan,0,0.008264462809917356,120,0,120,9.128921848639754e-05,0.0019135707256050327,0.001167153148470712,0.0011126580475243346,0.00028454752696932957,0.0019348513430778036,1.5261575674147267e-07,1.5957353864228687e-05,0.0013522895692761494,0.0013522895692761494,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.0019348513430778036,DIRK_policy_sinh_M480_N960,call_T050_s060_r010_q010,all,0.0012032122232236635,0.0004424659363137719,5203,0.01795370150013844,101,stress_holdout,etc_fb_mixture,0.0011081342781362874
D,nan,nan,0,0.008264462809917356,120,0,120,9.128921848639754e-05,0.0019135707256050327,0.001167153148470712,0.0011126580475243346,0.0007024549728808769,0.0019348513430778036,1.5261575674147267e-07,1.5957353864228687e-05,0.0013522895692761494,0.0013522895692761494,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.0019348513430778036,DIRK_policy_sinh_M480_N960,call_T050_s060_r010_q010,exercise_region,0.001735885210032186,0.0009510603083811056,676,0.01795370150013844,101,stress_holdout,etc_fb_mixture,0.0011081342781362874
D,nan,nan,0,0.008264462809917356,120,0,120,9.128921848639754e-05,0.0019135707256050327,0.001167153148470712,0.0011126580475243346,0.00022214296910844902,0.0012423102228144023,1.5261575674147267e-07,1.5957353864228687e-05,0.0013522895692761494,0.0013522895692761494,"{""architecture"": ""resnet"", ""blocks"": 4, ""hidden_layers"": 6, ""layers_per_block"": 2, ""width"": 50}",0.0019348513430778036,DIRK_policy_sinh_M480_N960,call_T050_s060_r010_q010,continuation_region,0.0009017889951820129,0.0002999044296574601,4527,0.01795370150013844,101,stress_holdout,etc_fb_mixture,0.0011081342781362874
