method_name,sample_id,regime_id,split,option_type,T,sigma,r,q,tau,tau_fraction,reference_found,reference_boundary,reference_in_sample_window,predicted_found,predicted_boundary,absolute_error,no_boundary_reason,is_no_dividend_call_control,downstream_use_status
premium_implied_boundary,41,put_T100_s020_r010_q000,train,put,1.0,0.2,0.1,0.0,0.9583333333333334,0.9583333333333334,True,0.8666751603435054,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,42,put_T100_s020_r010_q010,train,put,1.0,0.2,0.1,0.1,0.4583333333333333,0.4583333333333333,True,0.7764946152677472,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,43,put_T100_s020_r010_q010,train,put,1.0,0.2,0.1,0.1,0.8333333333333334,0.8333333333333334,True,0.7666816016578106,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,44,put_T100_s040_r001_q003,train,put,1.0,0.4,0.01,0.03,0.7666666666666666,0.7666666666666666,True,0.2668718187385111,False,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,45,put_T100_s040_r001_q010,train,put,1.0,0.4,0.01,0.1,0.36666666666666664,0.36666666666666664,True,0.0669789405595202,False,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,46,put_T100_s040_r005_q003,train,put,1.0,0.4,0.05,0.03,0.05,0.05,True,0.8002644088666774,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,47,put_T100_s040_r010_q000,train,put,1.0,0.4,0.1,0.0,0.16666666666666666,0.16666666666666666,True,0.767292541783762,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,48,put_T100_s040_r010_q006,train,put,1.0,0.4,0.1,0.06,0.016666666666666666,0.016666666666666666,True,0.9000252097399568,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,49,put_T100_s040_r010_q006,train,put,1.0,0.4,0.1,0.06,0.3416666666666667,0.3416666666666667,True,0.7000241480238338,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,50,put_T100_s060_r001_q000,train,put,1.0,0.6,0.01,0.0,0.475,0.475,True,0.3686280902808443,False,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,51,put_T100_s060_r001_q003,train,put,1.0,0.6,0.01,0.03,0.5333333333333333,0.5333333333333333,True,0.23393550218480616,False,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,52,put_T100_s060_r005_q003,train,put,1.0,0.6,0.05,0.03,0.7916666666666666,0.7916666666666666,True,0.4000847310986767,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,53,put_T100_s060_r010_q003,train,put,1.0,0.6,0.1,0.03,0.4583333333333333,0.4583333333333333,True,0.5337185540883881,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
