case_name,case_family,variation_name,option_type,K,T,r,q,sigma,Smax,M,N,solver_name,solver_variant,premium_threshold,target_tau_fraction,target_tau,nearest_tau,time_index,target_moneyness,nearest_spot,actual_moneyness,value,payoff,continuation_premium,exercise_indicator,boundary_found_at_time,boundary_spot_at_time,boundary_distance,delta,gamma,boundary_near,kink_near,maturity_row,strict_interior,downstream_use_status
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.25,0.25,0.25,30,1.8,1.8,1.8,0.000114856144383,0,0.000114856144383,0,True,0.700035201101,1.0999647989,-0.00108448575776,0.00987465088824,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.5,0.5,0.5,60,0.5,0.5,0.5,0.5,0.5,0,1,True,0.63336313416,0.13336313416,-1,0,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.5,0.5,0.5,60,0.8,0.8,0.8,0.22120663152,0.2,0.02120663152,0,True,0.63336313416,0.16663686584,-0.74572412478,1.62894120128,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.5,0.5,0.5,60,1,1,1,0.10458548438,0,0.10458548438,0,True,0.63336313416,0.36663686584,-0.427946674856,1.42542630721,False,True,False,False,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.5,0.5,0.5,60,1.2,1.2,1.2,0.0437473063845,0,0.0437473063845,0,True,0.63336313416,0.56663686584,-0.201480459902,0.835003490819,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.5,0.5,0.5,60,1.5,1.5,1.5,0.0102592931245,0,0.0102592931245,0,True,0.63336313416,0.86663686584,-0.0516984379462,0.249542007973,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.5,0.5,0.5,60,1.8,1.8,1.8,0.00220961184949,0,0.00220961184949,0,True,0.63336313416,1.16663686584,-0.0115121125929,0.0589507610718,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.75,0.75,0.75,90,0.5,0.5,0.5,0.5,0.5,0,1,True,0.567395383963,0.0673953839632,-1,0,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.75,0.75,0.75,90,0.8,0.8,0.8,0.233975212242,0.2,0.0339752122424,0,True,0.567395383963,0.232604616037,-0.682242875509,1.48213084702,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.75,0.75,0.75,90,1,1,1,0.125640280769,0,0.125640280769,0,True,0.567395383963,0.432604616037,-0.41243893559,1.16576289402,False,True,False,False,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.75,0.75,0.75,90,1.2,1.2,1.2,0.0635797279847,0,0.0635797279847,0,True,0.567395383963,0.632604616037,-0.223654086533,0.72865924415,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.75,0.75,0.75,90,1.5,1.5,1.5,0.0215276050429,0,0.0215276050429,0,True,0.567395383963,0.932604616037,-0.0793740060973,0.285319743839,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.75,0.75,0.75,90,1.8,1.8,1.8,0.0070858993339,0,0.0070858993339,0,True,0.567395383963,1.23260461604,-0.0263817721107,0.0980220573906,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,1,1,1,120,0.5,0.5,0.5,0.5,0.5,0,1,True,0.566688831192,0.0666888311917,-1,0,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,1,1,1,120,0.8,0.8,0.8,0.245175029981,0.2,0.0451750299809,0,True,0.566688831192,0.233311168808,-0.6386382915,1.36033892512,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,1,1,1,120,1,1,1,0.142578361245,0,0.142578361245,0,True,0.566688831192,0.433311168808,-0.399710678046,1.01156026691,False,True,False,False,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,1,1,1,120,1.2,1.2,1.2,0.0804315532306,0,0.0804315532306,0,True,0.566688831192,0.633311168808,-0.234464413195,0.651776024092,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,1,1,1,120,1.5,1.5,1.5,0.0332180898889,0,0.0332180898889,0,True,0.566688831192,0.933311168808,-0.0987071283893,0.291570819304,False,False,False,True,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,1,1,1,120,1.8,1.8,1.8,0.0136640710985,0,0.0136640710985,0,True,0.566688831192,1.23331116881,-0.0403290581205,0.120721792216,False,False,False,True,pilot_diagnostic_only
american_put_r_003,american_put,r_003,put,1,1,0.03,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.01,0.01,0.00833333333333,1,0.5,0.5,0.5,0.5,0.5,0,1,True,0.93350759565,0.43350759565,-1,0,False,False,False,True,pilot_diagnostic_only
american_put_r_003,american_put,r_003,put,1,1,0.03,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.01,0.01,0.00833333333333,1,0.8,0.8,0.8,0.2,0.2,0,1,True,0.93350759565,0.13350759565,-1,9.99200722163e-14,False,False,False,True,pilot_diagnostic_only
american_put_r_003,american_put,r_003,put,1,1,0.03,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.01,0.01,0.00833333333333,1,1,1,1,0.00434314653649,0,0.00434314653649,0,True,0.93350759565,0.0664924043501,-0.498386356295,22.6234633749,True,True,False,False,pilot_diagnostic_only
american_put_r_003,american_put,r_003,put,1,1,0.03,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.01,0.01,0.00833333333333,1,1.2,1.2,1.2,1.01416905546e-09,0,1.01416905546e-09,1,True,0.93350759565,0.26649240435,-1.69732753798e-07,8.52817713251e-06,False,False,False,True,pilot_diagnostic_only
