regime_id,split,option_type,q,early_exercise_risk,psor_median_seconds,policy_median_seconds,projected_lu_median_seconds,lu_over_policy_ratio,lu_over_psor_ratio
call_T100_s060_r001_q010,stress_holdout,call,0.1,True,0.160548604,0.015148042,0.009396625,0.6203194445856435,0.05852822613144615
call_T100_s060_r005_q000,test,call,0.0,False,0.7489008545,0.013687771000000001,0.009300187500000001,0.6794523008896043,0.012418449577293147
call_T100_s060_r005_q010,stress_holdout,call,0.1,True,0.1718479585,0.015099750000000002,0.009342646,0.6187285219953972,0.05436576658546688
call_T100_s060_r010_q000,test,call,0.0,False,0.7742235420000001,0.013686479000000001,0.0093408125,0.6824846989499637,0.012064748736353976
call_T100_s060_r010_q010,stress_holdout,call,0.1,True,0.20020389600000002,0.0159580835,0.009552604000000001,0.5986059666876665,0.047714376147804834
call_T200_s020_r001_q000,test,call,0.0,False,0.22090383350000004,0.013914437000000002,0.009537021,0.6854047346651538,0.04317272746649731
call_T200_s020_r005_q000,test,call,0.0,False,0.2390434375,0.013703458000000002,0.009334937000000001,0.68121031932232,0.039051216371501524
call_T200_s020_r010_q000,test,call,0.0,False,0.24989312550000004,0.0137180005,0.009356312500000002,0.6820463740324256,0.03744125606208403
call_T200_s040_r001_q000,test,call,0.0,False,0.6414303960000001,0.013657083,0.0093401875,0.683907939931243,0.014561498111480203
call_T200_s040_r005_q000,test,call,0.0,False,0.70150975,0.01372675,0.009339458500000002,0.6803838126286267,0.01331336948631149
call_T200_s040_r010_q000,test,call,0.0,False,0.7270367710000001,0.013681646,0.009321479,0.6813126870845804,0.012821193331361776
call_T200_s040_r010_q003,test,call,0.03,True,0.583794354,0.015510562500000002,0.009363125,0.6036612147367317,0.016038395945158455
call_T200_s040_r010_q006,test,call,0.06,True,0.21323962500000002,0.014882833500000001,0.009379792000000001,0.6302423527079034,0.04398709667586407
call_T200_s040_r010_q010,test,call,0.1,True,0.1524814375,0.01497475,0.0093782705,0.6262722583014741,0.06150434212689004
call_T200_s060_r001_q000,test,call,0.0,False,1.2833887290000001,0.013766771,0.009391937500000001,0.682217892634373,0.007318076969024091
call_T200_s060_r001_q010,stress_holdout,call,0.1,True,0.3215151045,0.016154979,0.009392645500000001,0.5814087099710871,0.029213699041004158
call_T200_s060_r005_q000,test,call,0.0,False,1.3652605835,0.013784833500000001,0.009385979,0.6808917206000347,0.006874862655111583
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,0.3665619375,0.016662500500000003,0.0094296245,0.5659189327556209,0.02572450528909593
call_T200_s060_r010_q000,test,call,0.0,False,1.4123963125,0.0137322915,0.009377,0.6828430637377599,0.006639071425641377
call_T200_s060_r010_q010,stress_holdout,call,0.1,True,0.44353956250000004,0.018040521,0.0093902495,0.5205087757720522,0.021171165537234346
put_T025_s060_r001_q010,stress_holdout,put,0.1,True,0.105984146,0.013684333500000001,0.009773771,0.7142306930768677,0.0922191796497563
put_T025_s060_r005_q010,stress_holdout,put,0.1,True,0.1072189795,0.0138498125,0.0098120835,0.7084632734197666,0.09151442725678992
put_T025_s060_r010_q010,stress_holdout,put,0.1,True,0.107147354,0.014201584000000001,0.009914396,0.6981190267226529,0.09253047910077183
put_T050_s060_r001_q010,stress_holdout,put,0.1,True,0.2729536255,0.0138037915,0.0098141875,0.7109776687079054,0.03595551252350007
put_T050_s060_r005_q010,stress_holdout,put,0.1,True,0.271953416,0.013818208000000002,0.009826916500000001,0.7111570834655261,0.036134558059752415
put_T050_s060_r010_q010,stress_holdout,put,0.1,True,0.26669914550000007,0.014601375000000002,0.009806000500000002,0.671580621688026,0.03676802369057459
put_T100_s060_r001_q010,stress_holdout,put,0.1,True,0.6750671875,0.013778354500000001,0.009769396,0.7090393849280042,0.0144717387852598
put_T100_s060_r005_q010,stress_holdout,put,0.1,True,0.6649369580000001,0.0140516665,0.0098318545,0.6996931289253129,0.014786145335600371
put_T100_s060_r010_q010,stress_holdout,put,0.1,True,0.6604319375000001,0.0148868755,0.009836771000000001,0.6607680033328687,0.014894450800238594
put_T200_s040_r010_q000,test,put,0.0,True,0.5333306664999999,0.0143709375,0.0098111875,0.682710331180551,0.018396068548591517
put_T200_s040_r010_q003,test,put,0.03,True,0.5482578955,0.014587041500000002,0.009853625000000001,0.6755053792093483,0.017972609388531825
put_T200_s040_r010_q006,test,put,0.06,True,0.5518094795,0.014435854500000001,0.009826395500000001,0.6806937199318545,0.017807587337759754
put_T200_s040_r010_q010,test,put,0.1,True,0.5646707080000001,0.014495124500000001,0.009775917,0.6744279429955914,0.017312598053164818
put_T200_s060_r001_q010,stress_holdout,put,0.1,True,1.4693598335,0.0136575,0.0097523955,0.7140688632619441,0.006637173058399109
put_T200_s060_r005_q010,stress_holdout,put,0.1,True,1.461334833,0.013916375500000001,0.009778437000000001,0.702656880737373,0.006691441810037249
put_T200_s060_r010_q010,stress_holdout,put,0.1,True,1.4336635625,0.0145735,0.009772333000000001,0.6705549799293239,0.006816336311818625
