regime_id,split,option_type,q,early_exercise_risk,arm,repeat,measured_total_seconds,internal_total_seconds,solver_setup_seconds,initialization_seconds,lcp_finish_seconds,marcher_other_seconds,obstacle_transform_seconds,projected_sweep_seconds,inverse_transform_seconds,residual_audit_seconds,total_sweeps_or_iterations,converged,max_normalized_lcp_residual
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,1,0.016493708000000003,0.01642337499652058,0.0,7.741269655525684e-05,0.014139704988338053,0.002206257311627269,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,1,0.00944325,0.009388959035277367,0.0001004999503493309,0.0,0.006985213840380311,0.0023032452445477247,0.0003975912695750594,0.004739461815916002,3.0246097594499588e-05,0.0017638452118262649,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,2,0.016564042,0.016495499992743134,0.0,7.883156649768353e-05,0.014237089781090617,0.002179578645154834,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,2,0.009327875000000001,0.009281708975322545,9.358394891023636e-05,0.0,0.00690921361092478,0.002278911415487528,0.00038683717139065266,0.00469113071449101,2.96630896627903e-05,0.0017460925737395883,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,2,0.36279054200000005,0.3626905420096591,0.0,7.9332385212183e-05,0.360336504643783,0.002274704980663955,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,3,0.368470958,0.3683844159822911,0.0,8.137489203363657e-05,0.3659511236473918,0.0023519174428656697,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,3,0.009427083000000001,0.009357584058307111,9.608396794646978e-05,0.0,0.006915883626788855,0.002345616463571787,0.0003919611917808652,0.004683462670072913,2.99159437417984e-05,0.0017540008993819356,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,3,0.016599292,0.01652629196178168,0.0,7.703772280365229e-05,0.014268329716287553,0.002180924522690475,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,4,0.36270929100000004,0.3626172080403194,0.0,8.104252628982067e-05,0.3601761282188818,0.0023600372951477766,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,4,0.017064583,0.01698404096532613,0.0,7.982831448316574e-05,0.014597376342862844,0.00230683630798012,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,4,0.009254625,0.009194458019919693,9.758397936820984e-05,0.0,0.0068283420987427235,0.00226853194180876,0.00037812197115272284,0.004626797162927687,2.9832124710083008e-05,0.0017388068372383714,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,5,0.009550459,0.009469208074733615,8.387502748519182e-05,0.0,0.007063003955408931,0.0023223290918394923,0.00039142509922385216,0.004783259588293731,3.308604937046766e-05,0.001796924159862101,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,5,0.016779209,0.016696874983608723,0.0,7.728685159236193e-05,0.014309544232673943,0.0023100438993424177,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,5,0.369893375,0.369808999937959,0.0,8.299888577312231e-05,0.3672259625745937,0.0025000384775921702,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
