regime_id,split,arm,repeat,option_type,prediction_seconds,projection_seconds,lcp_finish_seconds,marcher_other_seconds,total_seconds,converged,total_iterations,mean_iterations,max_iterations,max_normalized_lcp_residual,max_normalized_obstacle_violation
put_T100_s060_r010_q010,stress_holdout,C_mlp_psor,6,put,0.0015890420181676745,0.00028779671993106604,0.7570148373488337,0.002706032944843173,0.7615977090317756,True,9291,77.425,96,9.994522570666575e-13,0.0
put_T100_s060_r010_q010,stress_holdout,D_mlp_policy,6,put,0.0015735829947516322,0.00024095026310533285,0.01853807712905109,0.0024689725833013654,0.02282158297020942,True,175,1.4583333333333333,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,A_previous_psor,6,put,0.0,0.00014637608546763659,0.8607210017507896,0.003992455080151558,0.8648598329164088,True,9220,76.83333333333333,96,9.99451172864485e-13,0.0
put_T100_s060_r010_q010,stress_holdout,B_previous_policy,6,put,0.0,0.00010250287596136332,0.016557204304262996,0.0029408339178189635,0.019600541098043323,True,134,1.1166666666666667,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,A_previous_psor,7,put,0.0,0.00013878731988370419,0.8566924144979566,0.003741881111636758,0.8605730829294771,True,9220,76.83333333333333,96,9.99451172864485e-13,0.0
put_T100_s060_r010_q010,stress_holdout,D_mlp_policy,7,put,0.0017638340359553695,0.0002742575015872717,0.021415836992673576,0.0027913214871659875,0.026245250017382205,True,175,1.4583333333333333,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,B_previous_policy,7,put,0.0,0.00010312022641301155,0.016516742180101573,0.002768053556792438,0.019387915963307023,True,134,1.1166666666666667,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,C_mlp_psor,7,put,0.0017517919186502695,0.0003614590968936682,0.8211005004122853,0.0031683314591646194,0.8263820828869939,True,9291,77.425,96,9.994522570666575e-13,0.0
put_T100_s060_r010_q010,stress_holdout,A_previous_psor,8,put,0.0,0.00011182809248566628,0.791462924098596,0.002938247751444578,0.7945129999425262,True,9220,76.83333333333333,96,9.99451172864485e-13,0.0
put_T100_s060_r010_q010,stress_holdout,D_mlp_policy,8,put,0.0018523749895393848,0.00026225217152386904,0.019681042060256004,0.002669955720193684,0.024465624941512942,True,175,1.4583333333333333,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,B_previous_policy,8,put,0.0,9.537301957607269e-05,0.01554041390772909,0.0025994210736826062,0.018235208000987768,True,134,1.1166666666666667,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,C_mlp_psor,8,put,0.0016167499125003815,0.0003045422490686178,0.7886572929564863,0.002777039771899581,0.7933556248899549,True,9291,77.425,96,9.994522570666575e-13,0.0
put_T100_s060_r010_q010,stress_holdout,D_mlp_policy,9,put,0.001567999948747456,0.000246336217969656,0.019068625173531473,0.002517163520678878,0.023400124860927463,True,175,1.4583333333333333,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,A_previous_psor,9,put,0.0,0.00010775472037494183,0.7635997097240761,0.002746576559729874,0.7664540410041809,True,9220,76.83333333333333,96,9.99451172864485e-13,0.0
put_T100_s060_r010_q010,stress_holdout,B_previous_policy,9,put,0.0,9.320618119090796e-05,0.015041627921164036,0.0025648738956078887,0.017699707997962832,True,134,1.1166666666666667,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,C_mlp_psor,9,put,0.0015835420927032828,0.0003367094323039055,0.7801247951574624,0.0029846205143257976,0.7850296671967953,True,9291,77.425,96,9.994522570666575e-13,0.0
put_T100_s060_r010_q010,stress_holdout,B_previous_policy,10,put,0.0,9.295670315623283e-05,0.014725369866937399,0.0024727564305067062,0.017291083000600338,True,134,1.1166666666666667,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,D_mlp_policy,10,put,0.0015810000477358699,0.00024499895516783,0.018826168030500412,0.002576416009105742,0.023228583042509854,True,175,1.4583333333333333,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,A_previous_psor,10,put,0.0,0.00010782922618091106,0.7608799980953336,0.002713630674406886,0.7637014579959214,True,9220,76.83333333333333,96,9.99451172864485e-13,0.0
put_T100_s060_r010_q010,stress_holdout,C_mlp_psor,10,put,0.0015857910038903356,0.0003020435106009245,0.7724130457499996,0.0027454517548903823,0.7770463320193812,True,9291,77.425,96,9.994522570666575e-13,0.0
put_T100_s060_r010_q010,stress_holdout,D_mlp_policy,11,put,0.0015948750078678131,0.0002520050620660186,0.01911633287090808,0.002668537083081901,0.023631750023923814,True,175,1.4583333333333333,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,C_mlp_psor,11,put,0.0015492079546675086,0.0002940000267699361,0.7767885399516672,0.0027244180673733354,0.781356166000478,True,9291,77.425,96,9.994522570666575e-13,0.0
put_T100_s060_r010_q010,stress_holdout,B_previous_policy,11,put,0.0,9.294948540627956e-05,0.014673497877083719,0.002474677632562816,0.017241124995052814,True,134,1.1166666666666667,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,A_previous_psor,11,put,0.0,0.00010537006892263889,0.769290913711302,0.002691799192689359,0.772088082972914,True,9220,76.83333333333333,96,9.99451172864485e-13,0.0
put_T100_s060_r010_q010,stress_holdout,A_previous_psor,12,put,0.0,0.00010421383194625378,0.7668153768172488,0.0027478262782096863,0.7696674169274047,True,9220,76.83333333333333,96,9.99451172864485e-13,0.0
put_T100_s060_r010_q010,stress_holdout,D_mlp_policy,12,put,0.0016467500245198607,0.0002478735987097025,0.018723956891335547,0.0025220444658771157,0.023140624980442226,True,175,1.4583333333333333,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,C_mlp_psor,12,put,0.001516166958026588,0.0002985867904499173,0.7709771207300946,0.0027358344523236156,0.7755277089308947,True,9291,77.425,96,9.994522570666575e-13,0.0
put_T100_s060_r010_q010,stress_holdout,B_previous_policy,12,put,0.0,9.512074757367373e-05,0.015207374934107065,0.002643921412527561,0.0179464170942083,True,134,1.1166666666666667,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,D_mlp_policy,13,put,0.0015721669187769294,0.00024737301282584667,0.01864066335838288,0.0024958386784419417,0.0229560419684276,True,175,1.4583333333333333,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,B_previous_policy,13,put,0.0,9.278871584683657e-05,0.014692710363306105,0.0024325839476659894,0.01721808302681893,True,134,1.1166666666666667,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,A_previous_psor,13,put,0.0,0.000103330472484231,0.7661367089021951,0.0027945026522502303,0.7690345420269296,True,9220,76.83333333333333,96,9.99451172864485e-13,0.0
put_T100_s060_r010_q010,stress_holdout,C_mlp_psor,13,put,0.0016134589677676558,0.0003193774027749896,0.777727751294151,0.002907787333242595,0.7825683749979362,True,9291,77.425,96,9.994522570666575e-13,0.0
put_T100_s060_r010_q010,stress_holdout,C_mlp_psor,14,put,0.0015735420165583491,0.00029309093952178955,0.7692279203329235,0.0027204466750845313,0.7738149999640882,True,9291,77.425,96,9.994522570666575e-13,0.0
put_T100_s060_r010_q010,stress_holdout,A_previous_psor,14,put,0.0,0.00011587608605623245,0.7915798799367622,0.0030157859437167645,0.7947115419665352,True,9220,76.83333333333333,96,9.99451172864485e-13,0.0
put_T100_s060_r010_q010,stress_holdout,B_previous_policy,14,put,0.0,0.0001728356583043933,0.015452752821147442,0.0025909944670274854,0.01821658294647932,True,134,1.1166666666666667,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,D_mlp_policy,14,put,0.0016492499271407723,0.00033028062898665667,0.01968067022971809,0.0026201740838587284,0.024280374869704247,True,175,1.4583333333333333,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,B_previous_policy,15,put,0.0,9.691144805401564e-05,0.015450620907358825,0.0026635086396709085,0.01821104099508375,True,134,1.1166666666666667,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,A_previous_psor,15,put,0.0,0.00010675482917577028,0.7809777945512906,0.0028080346528440714,0.7838925840333104,True,9220,76.83333333333333,96,9.99451172864485e-13,0.0
put_T100_s060_r010_q010,stress_holdout,C_mlp_psor,15,put,0.001572042005136609,0.00031295616645365953,0.7787610880332068,0.0027841638075187802,0.7834302500123158,True,9291,77.425,96,9.994522570666575e-13,0.0
put_T100_s060_r010_q010,stress_holdout,D_mlp_policy,15,put,0.0015815829392522573,0.00024437590036541224,0.01874325273092836,0.0024874963564798236,0.023056707927025855,True,175,1.4583333333333333,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,D_mlp_policy,16,put,0.0014886660501360893,0.00025416899006813765,0.019410712411627173,0.0025623266119509935,0.023715874063782394,True,175,1.4583333333333333,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,B_previous_policy,16,put,0.0,9.37492586672306e-05,0.015008794143795967,0.0024995815474539995,0.017602124949917197,True,134,1.1166666666666667,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,A_previous_psor,16,put,0.0,0.00010687834583222866,0.7627459946088493,0.002702169120311737,0.7655550420749933,True,9220,76.83333333333333,96,9.99451172864485e-13,0.0
put_T100_s060_r010_q010,stress_holdout,C_mlp_psor,16,put,0.001577500021085143,0.00029883580282330513,0.7664811213035136,0.0026888339780271053,0.7710462911054492,True,9291,77.425,96,9.994522570666575e-13,0.0
put_T100_s060_r010_q010,stress_holdout,C_mlp_psor,17,put,0.0015841670101508498,0.0003052871907129884,0.7620962898945436,0.0027793808840215206,0.766765124979429,True,9291,77.425,96,9.994522570666575e-13,0.0
put_T100_s060_r010_q010,stress_holdout,A_previous_psor,17,put,0.0,0.00010645901784300804,0.7632786312606186,0.002723825629800558,0.7661089159082621,True,9220,76.83333333333333,96,9.99451172864485e-13,0.0
put_T100_s060_r010_q010,stress_holdout,D_mlp_policy,17,put,0.0016585419652983546,0.0002571295481175184,0.019493037834763527,0.0026069997111335397,0.02401570905931294,True,175,1.4583333333333333,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,B_previous_policy,17,put,0.0,9.567034430801868e-05,0.015524586662650108,0.00255374307744205,0.018174000084400177,True,134,1.1166666666666667,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,B_previous_policy,18,put,0.0,9.079114533960819e-05,0.015105125610716641,0.0024667911930009723,0.01766270794905722,True,134,1.1166666666666667,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,C_mlp_psor,18,put,0.0015159579925239086,0.000299378065392375,0.7787823327817023,0.002805872238241136,0.7834035410778597,True,9291,77.425,96,9.994522570666575e-13,0.0
put_T100_s060_r010_q010,stress_holdout,D_mlp_policy,18,put,0.0015746660064905882,0.00024950900115072727,0.019076123018749058,0.002589534968137741,0.023489832994528115,True,175,1.4583333333333333,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,A_previous_psor,18,put,0.0,0.00010783353354781866,0.7707748267566785,0.0027467976324260235,0.7736294579226524,True,9220,76.83333333333333,96,9.99451172864485e-13,0.0
put_T100_s060_r010_q010,stress_holdout,B_previous_policy,19,put,0.0,9.299616795033216e-05,0.015486545977182686,0.0025983748491853476,0.018177916994318366,True,134,1.1166666666666667,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,D_mlp_policy,19,put,0.0016122909728437662,0.00024242093786597252,0.018925454118289053,0.0024826659355312586,0.02326283196453005,True,175,1.4583333333333333,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,A_previous_psor,19,put,0.0,0.00010670616757124662,0.7661026258720085,0.0027134179836139083,0.7689227500231937,True,9220,76.83333333333333,96,9.99451172864485e-13,0.0
put_T100_s060_r010_q010,stress_holdout,C_mlp_psor,19,put,0.00165049999486655,0.0003202487714588642,0.7831694540800527,0.002917964127846062,0.7880581669742242,True,9291,77.425,96,9.994522570666575e-13,0.0
put_T100_s060_r010_q010,stress_holdout,A_previous_psor,20,put,0.0,0.00010754656977951527,0.7651271654758602,0.0027856220258399844,0.7680203340714797,True,9220,76.83333333333333,96,9.99451172864485e-13,0.0
put_T100_s060_r010_q010,stress_holdout,C_mlp_psor,20,put,0.0015887910267338157,0.00030441477429121733,0.773863579146564,0.0028773811645805836,0.7786341661121696,True,9291,77.425,96,9.994522570666575e-13,0.0
put_T100_s060_r010_q010,stress_holdout,B_previous_policy,20,put,0.0,9.603879880160093e-05,0.014815705362707376,0.002595046884380281,0.01750679104588926,True,134,1.1166666666666667,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,D_mlp_policy,20,put,0.001947582932189107,0.0002512881765142083,0.01958121417555958,0.002658538636751473,0.02443862392101437,True,175,1.4583333333333333,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,B_previous_policy,21,put,0.0,9.632809087634087e-05,0.015328082954511046,0.002554756007157266,0.017979167052544653,True,134,1.1166666666666667,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,C_mlp_psor,21,put,0.00159549992531538,0.00030554074328392744,0.7833090485073626,0.0027866197051480412,0.78799670888111,True,9291,77.425,96,9.994522570666575e-13,0.0
put_T100_s060_r010_q010,stress_holdout,D_mlp_policy,21,put,0.0015922080492600799,0.0002493011998012662,0.019182460266165435,0.0025652794865891337,0.023589249001815915,True,175,1.4583333333333333,5,2.220446049250313e-16,0.0
put_T100_s060_r010_q010,stress_holdout,A_previous_psor,21,put,0.0,0.00010675040539354086,0.7695638831937686,0.002776699373498559,0.7724473329726607,True,9220,76.83333333333333,96,9.99451172864485e-13,0.0
put_T100_s060_r010_q010,stress_holdout,A_previous_psor,22,put,0.0,0.00011029117740690708,0.7659455027896911,0.0027649560943245888,0.7688207500614226,True,9220,76.83333333333333,96,9.99451172864485e-13,0.0
