S_over_K,tau_over_T,V_over_K,Delta,scaled_Gamma,payoff_over_K,continuation_premium_over_K
0.8175,1,0.32477333404665648,-0.50512685988335893,0.76384415297304198,0.1825,0.14227333404665649
0.82000000000000006,1,0.32351290213683059,-0.50321937840327979,0.76213913347367457,0.17999999999999994,0.14351290213683066
0.82250000000000001,1,0.32225723359070058,-0.50131617363727654,0.76042280846955979,0.17749999999999999,0.14475723359070058
0.82499999999999996,1,0.32100631768131921,-0.49941727364796262,0.75869533906386399,0.17500000000000004,0.14600631768131916
0.82750000000000001,1,0.31976014361208688,-0.49752270609385357,0.7569568874144107,0.17249999999999999,0.14726014361208689
0.83000000000000007,1,0.31851870051776598,-0.49563249822685518,0.75520761663579905,0.16999999999999993,0.14851870051776606
0.83250000000000002,1,0.31728197746549952,-0.49374667688998963,0.7534476907047285,0.16749999999999998,0.14978197746549954
0.83499999999999996,1,0.31604996345583608,-0.49186526851535506,0.75167727436844944,0.16500000000000004,0.15104996345583604
0.83750000000000002,1,0.31482264742375976,-0.48998829912231051,0.74989653305624848,0.16249999999999998,0.15232264742375978
0.84000000000000008,1,0.31360001823972405,-0.48811579431587976,0.74810563279389763,0.15999999999999992,0.15360001823972413
0.84250000000000003,1,0.31238206471068891,-0.48624777928536195,0.74630474012097392,0.15749999999999997,0.15488206471068894
0.84499999999999997,1,0.31116877558116207,-0.4843842788031491,0.74449402201098536,0.15500000000000003,0.15616877558116204
0.84750000000000003,1,0.30996013953424256,-0.48252531722373715,0.74267364579421546,0.15249999999999997,0.15746013953424259
0.85000000000000009,1,0.3087561451926662,-0.48067091848292892,0.74084377908322352,0.14999999999999991,0.15875614519266629
0.85250000000000004,1,0.30755678111985352,-0.47882110609721773,0.73900458970091421,0.14749999999999996,0.16005678111985355
0.85499999999999998,1,0.3063620358209585,-0.47697590316334942,0.73715624561112325,0.14500000000000002,0.16136203582095848
0.85749999999999993,1,0.30517189774391812,-0.47513533235805389,0.7352989148516359,0.14250000000000007,0.16267189774391805
0.85999999999999999,1,0.30398635528050244,-0.47329941593794173,0.7334327654695757,0.14000000000000001,0.16398635528050243
0.86250000000000004,1,0.30280539676736523,-0.47146817573955996,0.73155796545910778,0.13749999999999996,0.16530539676736528
0.86499999999999999,1,0.30162901048709406,-0.46964163317959762,0.7296746827013737,0.13500000000000001,0.16662901048709405
0.86749999999999994,1,0.30045718466925919,-0.46781980925524408,0.72778308490661359,0.13250000000000006,0.16795718466925913
0.87,1,0.29928990749146156,-0.46600272454468461,0.72588333955840678,0.13,0.16928990749146156
0.87250000000000005,1,0.29812716708037962,-0.46419039920773492,0.72397561385997222,0.12749999999999995,0.17062716708037967
0.875,1,0.29696895151281477,-0.46238285298660686,0.72206007468247202,0.125,0.17196895151281477
0.87749999999999995,1,0.29581524881673393,-0.46058010520680198,0.72013688851526292,0.12250000000000005,0.17331524881673388
0.88,1,0.29466604697230991,-0.4587821747781255,0.71820622141804358,0.12,0.17466604697230992
0.88250000000000006,1,0.29352133391295976,-0.4569890801958188,0.71626823897483471,0.11749999999999994,0.17602133391295982
0.88500000000000001,1,0.29238109752637909,-0.45520083954180407,0.71432310624975326,0.11499999999999999,0.17738109752637909
0.88749999999999996,1,0.29124532565557415,-0.45341747048603687,0.71237098774451801,0.11250000000000004,0.17874532565557411
0.89000000000000001,1,0.29011400609988952,-0.45163899028796484,0.71041204735764918,0.10999999999999999,0.18011400609988953
0.89250000000000007,1,0.28898712661603282,-0.4498654157980842,0.70844644834530235,0.10749999999999993,0.18148712661603289
0.89500000000000002,1,0.28786467491909484,-0.44809676345959287,0.70647435328369956,0.10499999999999998,0.18286467491909486
0.89749999999999996,1,0.2867466386835662,-0.44633304931013579,0.70449592403310635,0.10250000000000004,0.18424663868356617
0.90000000000000002,1,0.28563300554434751,-0.44457428898363827,0.70251132170331076,0.099999999999999978,0.18563300554434753
0.90250000000000008,1,0.28452376309775751,-0.44282049771222382,0.70052070662056676,0.09749999999999992,0.18702376309775759
0.90500000000000003,1,0.28341889890253563,-0.44107169032821347,0.69852423829595078,0.094999999999999973,0.18841889890253566
0.90749999999999997,1,0.28231840048083728,-0.4393278812662002,0.69652207539509803,0.092500000000000027,0.18981840048083726
0.91000000000000003,1,0.28122225531922618,-0.4375890845652004,0.69451437570927621,0.089999999999999969,0.19122225531922621
0.91250000000000009,1,0.28013045086966137,-0.43585531387087423,0.69250129612775524,0.087499999999999911,0.19263045086966146
0.91500000000000004,1,0.27904297455047666,-0.43412658243781393,0.69048299261144142,0.084999999999999964,0.1940429745504767
0.91749999999999998,1,0.27795981374735579,-0.43240290313189622,0.68845962016773066,0.082500000000000018,0.19545981374735577
0.91999999999999993,1,0.27688095581430094,-0.43068428843269557,0.68643133282655,0.080000000000000071,0.19688095581430087
0.92249999999999999,1,0.27580638807459629,-0.42897075043595823,0.6843982836175565,0.077500000000000013,0.19830638807459627
