regime_id,option_type,q,repeat,order_position,method,elapsed_seconds,solver_reported_seconds,converged
call_T100_s020_r005_q006,call,0.06,6,1,dirk_policy_sinh,0.601519625,0.60107316612266,True
call_T100_s020_r005_q006,call,0.06,7,0,published_dirk_p,0.612211833,0.6115397079847753,True
call_T100_s020_r005_q006,call,0.06,7,1,dirk_policy_sinh,0.603958,0.6034966248553246,True
call_T100_s020_r005_q006,call,0.06,8,0,dirk_policy_sinh,0.66734375,0.6668980000540614,True
call_T100_s020_r005_q006,call,0.06,8,1,published_dirk_p,0.617863292,0.6173925411421806,True
call_T100_s020_r005_q006,call,0.06,9,0,published_dirk_p,0.729566125,0.7290985828731209,True
call_T100_s020_r005_q006,call,0.06,9,1,dirk_policy_sinh,0.809844625,0.8092848749365658,True
call_T100_s020_r005_q006,call,0.06,10,0,published_dirk_p,0.609259417,0.608772249892354,True
call_T100_s020_r005_q006,call,0.06,10,1,dirk_policy_sinh,0.60850675,0.6080375420860946,True
call_T100_s020_r005_q006,call,0.06,11,0,dirk_policy_sinh,0.6089075,0.6084387907758355,True
call_T100_s020_r005_q006,call,0.06,11,1,published_dirk_p,0.660687916,0.6601806250400841,True
call_T100_s020_r005_q006,call,0.06,12,0,dirk_policy_sinh,0.639380083,0.6388942920602858,True
call_T100_s020_r005_q006,call,0.06,12,1,published_dirk_p,0.662336083,0.6618616250343621,True
call_T100_s020_r005_q006,call,0.06,13,0,published_dirk_p,0.610578958,0.610098667209968,True
call_T100_s020_r005_q006,call,0.06,13,1,dirk_policy_sinh,0.659269625,0.6588105000555515,True
call_T100_s020_r005_q006,call,0.06,14,0,published_dirk_p,0.681292791,0.680825375020504,True
call_T100_s020_r005_q006,call,0.06,14,1,dirk_policy_sinh,0.63044975,0.6299404590390623,True
call_T100_s020_r005_q006,call,0.06,15,0,dirk_policy_sinh,0.725950792,0.7253461671061814,True
call_T100_s020_r005_q006,call,0.06,15,1,published_dirk_p,0.625125125,0.6245716668199748,True
call_T100_s020_r005_q006,call,0.06,16,0,published_dirk_p,0.590197541,0.5897232920397073,True
call_T100_s020_r005_q006,call,0.06,16,1,dirk_policy_sinh,0.613286791,0.6128346659243107,True
call_T100_s020_r005_q006,call,0.06,17,0,dirk_policy_sinh,0.636715209,0.6361150830052793,True
call_T100_s020_r005_q006,call,0.06,17,1,published_dirk_p,0.614209,0.6136253750883043,True
call_T100_s020_r005_q006,call,0.06,18,0,published_dirk_p,0.644134333,0.6436426669824868,True
call_T100_s020_r005_q006,call,0.06,18,1,dirk_policy_sinh,0.64365325,0.6431676670908928,True
