regime_id,option_type,q,genuine_early_exercise,method,repeat_index,randomized_order_index,measured_seconds,reported_total_seconds,converged,all_structural_checks_passed,failure_reason
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,6,0,1.156575166,1.1559142500627786,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,6,1,0.671416083,0.6708443330135196,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,7,0,1.154096833,1.153672874905169,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,7,1,0.677792583,0.6772053330205381,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,8,0,0.738493834,0.7380603749770671,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,8,1,1.1740232910000001,1.1735828330274671,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,9,0,1.168643334,1.1678216659929603,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,9,1,0.680204459,0.6795430411584675,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,10,0,0.685494,0.6844707077834755,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,10,1,1.1586289170000001,1.1581371249631047,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,11,0,1.196372833,1.1957025420852005,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,11,1,0.670630917,0.6699986248277128,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,12,0,0.683803583,0.6833710828796029,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,12,1,1.251446375,1.251027459045872,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,13,0,1.2923985,1.2917464999482036,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,13,1,0.698097417,0.697358291130513,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,14,0,0.714915041,0.7144880001433194,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,14,1,1.225063792,1.2246110830456018,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,15,0,1.2497237920000002,1.2490259581245482,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,15,1,0.657855458,0.6571447500027716,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,16,0,1.075589833,1.0751816250849515,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,16,1,0.6349856660000001,0.6344219171442091,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,17,0,0.634554542,0.6341989589855075,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,17,1,1.206963708,1.206515665864572,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,18,0,0.629615959,0.6289727501571178,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,18,1,1.0696873340000002,1.0693490419071168,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,19,0,1.0552261250000001,1.054626249941066,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,19,1,0.611375584,0.6108000830281526,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,20,0,0.611418417,0.611044208984822,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,20,1,1.079905291,1.0794462920166552,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,21,0,0.66899175,0.6681507921312004,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,21,1,1.066449417,1.066013582982123,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,22,0,1.0540073330000002,1.0534428341779858,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,22,1,0.603962291,0.6033802088350058,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,23,0,0.619476417,0.6190424168016762,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,23,1,1.100074875,1.0996624589897692,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,24,0,0.611838875,0.6112782920245081,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,24,1,1.0490673750000001,1.048642500070855,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,25,0,0.6127195830000001,0.6122077498584986,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,25,1,1.048826917,1.0484960419125855,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,26,0,1.040069584,1.03946916712448,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,26,1,0.6054933330000001,0.6050083751324564,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,27,0,1.044841167,1.0444168748799711,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,27,1,0.5955189590000001,0.5949908751063049,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,28,0,0.616867334,0.6165180001407862,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,28,1,1.070175375,1.0698837500531226,True,True,
call_T100_s020_r005_q006,call,0.06,True,policy_iteration,29,0,0.609822916,0.6091734590008855,True,True,
call_T100_s020_r005_q006,call,0.06,True,projected_lu_single,29,1,1.050190875,1.0497942080255598,True,True,
call_T100_s020_r005_q000,call,0.0,False,projected_lu_single,0,0,1.024902709,1.0237701670266688,True,True,
call_T100_s020_r005_q000,call,0.0,False,policy_iteration,0,1,0.59655725,0.5959671661257744,True,True,
call_T100_s020_r005_q000,call,0.0,False,policy_iteration,1,0,0.5898930410000001,0.5894877498503774,True,True,
call_T100_s020_r005_q000,call,0.0,False,projected_lu_single,1,1,1.026397542,1.0260494160465896,True,True,
call_T100_s020_r005_q000,call,0.0,False,policy_iteration,2,0,0.6397935410000001,0.639219791861251,True,True,
call_T100_s020_r005_q000,call,0.0,False,projected_lu_single,2,1,1.126536833,1.1260755839757621,True,True,
call_T100_s020_r005_q000,call,0.0,False,projected_lu_single,3,0,1.0385036250000002,1.037522666156292,True,True,
call_T100_s020_r005_q000,call,0.0,False,policy_iteration,3,1,0.5825215,0.5820178329013288,True,True,
call_T100_s020_r005_q000,call,0.0,False,policy_iteration,4,0,0.593553125,0.5932299590203911,True,True,
call_T100_s020_r005_q000,call,0.0,False,projected_lu_single,4,1,1.075228834,1.0748680839315057,True,True,
call_T100_s020_r005_q000,call,0.0,False,policy_iteration,5,0,0.5868845420000001,0.5863341668155044,True,True,
call_T100_s020_r005_q000,call,0.0,False,projected_lu_single,5,1,1.032945167,1.0325167500413954,True,True,
call_T100_s020_r005_q000,call,0.0,False,projected_lu_single,6,0,1.033094291,1.0325960831250995,True,True,
call_T100_s020_r005_q000,call,0.0,False,policy_iteration,6,1,0.594045084,0.5934914581011981,True,True,
call_T100_s020_r005_q000,call,0.0,False,projected_lu_single,7,0,1.0239766670000001,1.0236466249916703,True,True,
call_T100_s020_r005_q000,call,0.0,False,policy_iteration,7,1,0.60438325,0.6039248327724636,True,True,
call_T100_s020_r005_q000,call,0.0,False,policy_iteration,8,0,0.594662833,0.5942827921826392,True,True,
call_T100_s020_r005_q000,call,0.0,False,projected_lu_single,8,1,1.022662916,1.0224004578776658,True,True,
call_T100_s020_r005_q000,call,0.0,False,projected_lu_single,9,0,1.0318622080000002,1.031383499968797,True,True,
call_T100_s020_r005_q000,call,0.0,False,policy_iteration,9,1,0.583343167,0.5827720421366394,True,True,
call_T100_s020_r005_q000,call,0.0,False,policy_iteration,10,0,0.585723667,0.5854108750354499,True,True,
call_T100_s020_r005_q000,call,0.0,False,projected_lu_single,10,1,1.023521417,1.0231436667963862,True,True,
call_T100_s020_r005_q000,call,0.0,False,policy_iteration,11,0,0.620236666,0.61965745780617,True,True,
call_T100_s020_r005_q000,call,0.0,False,projected_lu_single,11,1,1.112130333,1.111720458138734,True,True,
call_T100_s020_r005_q000,call,0.0,False,projected_lu_single,12,0,1.0391596250000001,1.0386468751821667,True,True,
