regime_id,method,value_grid_sha256,final_values_sha256,spot_grid_sha256,tau_grid_sha256
call_T200_s020_r010_q010,projected_lu_minus_policy,d495ea3ade472aac823c1bbbaa99c7b95057ef542e03edb47702ad7145da2b2f,fbe7e60f15caeca52ce6ce84d8759474856f5c04f0db6b96be706d20a5049924,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bd5f8cbbcc677c9c7a2ab5e996f2a5afdd8e57ca24e0a2a0eda918457410a351
put_T050_s060_r005_q003,policy_iteration,1b32a0ab9db39cf35918e9b82a89dc5c1a89c0b0cbcd078c263e86305f5d2ad8,78732ac814dd3cd3b627989f882c63db0d3f483be2759131c2bb63ff3b0cd026,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,43bf8504285174124a60c2adf361e48c47cbb851c81f38ddcb65347f5320e96e
put_T050_s060_r005_q003,projected_lu_single,675469f7d2ef7af05156f9ba054852b20d72c1e16991a48e4e5c51764ece4ebc,eb09619bcdd3c623ae98aa8ad937dbe40a5e44fa07e934a775ec8e384274b736,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,43bf8504285174124a60c2adf361e48c47cbb851c81f38ddcb65347f5320e96e
put_T050_s060_r005_q003,projected_lu_minus_policy,d75c9334b300a104606aebb2484750ec4197df9b1cee0ae64f7d03c2b5c84024,a1af3e52ee5e72a6fbab5bebe9812c372a4c55d5cabdff10e4d864da83b45629,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,43bf8504285174124a60c2adf361e48c47cbb851c81f38ddcb65347f5320e96e
call_T050_s060_r005_q010,policy_iteration,a17ba41e568398b1ed54526a89f7f2eda08f7ccbc30600eaccadf0319bf826ee,b402bc4c2f66d93af6305a45413b45685826df6df5772196eaa03f1bd984d2b9,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,43bf8504285174124a60c2adf361e48c47cbb851c81f38ddcb65347f5320e96e
call_T050_s060_r005_q010,projected_lu_single,bcfad2fb77a84859139cab3a8379b0ad62e771b9e754247b61eb69a9ec8919ef,e4dbe7c79a23a385de900db33f7875b054e7665d68d9bb422a6467ad81aac47b,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,43bf8504285174124a60c2adf361e48c47cbb851c81f38ddcb65347f5320e96e
call_T050_s060_r005_q010,projected_lu_minus_policy,038a2385df569cb5b7f6442dcc9ab1c6e67fab367eeac13f2998a3e93991276f,90c99fb04f9333467cc42e16ca692ae19cd57c61b755f52f1c97c048a0f265f3,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,43bf8504285174124a60c2adf361e48c47cbb851c81f38ddcb65347f5320e96e
call_T100_s060_r001_q006,policy_iteration,2d9c1e29d868a44ec47d9b6077368066b49fec4f7930a5a456a98bf1785fee14,4ff61eca9d4189ad1fcfde74294bb67e531d9a76f912812025093394990e475b,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bec55c2ac141ea43376875acfd64fa0f109739459fcbd1afa59c08d8e7b9a036
call_T100_s060_r001_q006,projected_lu_single,68ed0f7eabbce6a67e69463014b1e688032b26717159c3c80dd1ec91048354db,08cf64213e4fcbbec4254896b9554c848f5deb6180e954076a99bb0f16b90c56,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bec55c2ac141ea43376875acfd64fa0f109739459fcbd1afa59c08d8e7b9a036
call_T100_s060_r001_q006,projected_lu_minus_policy,a2454ac03dabf78e433478895188341995bc47258ec67907fbd7d5d1dfb1b945,f8c154799523fbc2dce0f93b0eb7954f441600975be81f97a0d216944be95df1,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bec55c2ac141ea43376875acfd64fa0f109739459fcbd1afa59c08d8e7b9a036
