method_name,split,region,row_count,delta_mae,delta_rmse,delta_max_abs_error,delta_stable_relative_mae,downstream_use_status
direct_value_implied_delta,stress_holdout,all_allowed,103124,0.10126365521483899,0.1250003667547612,0.5084851988201249,56.61876631015259,stage5_delta_diagnostic_only
direct_value_implied_delta,stress_holdout,strict_interior,103124,0.10126365521483899,0.1250003667547612,0.5084851988201249,56.61876631015259,stage5_delta_diagnostic_only
direct_value_implied_delta,stress_holdout,boundary_near,6341,0.12032830845349496,0.14287346022311104,0.5549194222190929,0.1222689851744763,stage5_delta_diagnostic_only
direct_value_implied_delta,stress_holdout,payoff_kink_near,14520,0.08944731882755795,0.11530038170373307,0.6570614738122057,13.036898281133581,stage5_delta_diagnostic_only
direct_value_implied_delta,stress_holdout,maturity_row,1032,0.17511861687022107,0.22102297905003063,0.6570614738122057,822.3749682444203,stage5_delta_diagnostic_only
positive_premium_implied_delta,train,all_allowed,861030,0.023213207176267976,0.03766859623398349,0.3287949462124763,10.261595207259996,stage5_delta_diagnostic_only
positive_premium_implied_delta,train,strict_interior,861030,0.023213207176267976,0.03766859623398349,0.3287949462124763,10.261595207259996,stage5_delta_diagnostic_only
positive_premium_implied_delta,train,boundary_near,64834,0.03240771142106981,0.054929023031242044,0.376710635565069,0.037818468751033764,stage5_delta_diagnostic_only
positive_premium_implied_delta,train,payoff_kink_near,122210,0.1446137717266494,0.17147941095986857,0.5138452757381629,1.624912099643218,stage5_delta_diagnostic_only
positive_premium_implied_delta,train,maturity_row,8686,0.01895690147449585,0.0388271063804683,0.32759356230197456,93.08183658263773,stage5_delta_diagnostic_only
positive_premium_implied_delta,validation,all_allowed,78983,0.017499700388066735,0.030055545228636082,0.19626211500415597,10.66734798099791,stage5_delta_diagnostic_only
positive_premium_implied_delta,validation,strict_interior,78983,0.017499700388066735,0.030055545228636082,0.19626211500415597,10.66734798099791,stage5_delta_diagnostic_only
positive_premium_implied_delta,validation,boundary_near,8027,0.022367575148945825,0.039775053730516784,0.31869963078436203,0.024991796434984597,stage5_delta_diagnostic_only
positive_premium_implied_delta,validation,payoff_kink_near,11495,0.15247699227672645,0.17892588068614879,0.4795936402871045,0.9988379349367781,stage5_delta_diagnostic_only
positive_premium_implied_delta,validation,maturity_row,817,0.009871454879209124,0.018128874813716077,0.10114567050522705,48.538766539486545,stage5_delta_diagnostic_only
positive_premium_implied_delta,test,all_allowed,193872,0.03806108132921786,0.05765810739171471,0.38111007566256405,10.238232956745312,stage5_delta_diagnostic_only
positive_premium_implied_delta,test,strict_interior,193872,0.03806108132921786,0.05765810739171471,0.38111007566256405,10.238232956745312,stage5_delta_diagnostic_only
positive_premium_implied_delta,test,boundary_near,2219,0.03824931682318455,0.046359860172799985,0.22966129708115557,0.04031019208120732,stage5_delta_diagnostic_only
positive_premium_implied_delta,test,payoff_kink_near,26015,0.14523545088895964,0.17021339934084337,0.38328166659870544,2.4892586482761687,stage5_delta_diagnostic_only
positive_premium_implied_delta,test,maturity_row,1849,0.02952120103314447,0.051931875536954136,0.3185122674331268,148.44267955450943,stage5_delta_diagnostic_only
positive_premium_implied_delta,stress_holdout,all_allowed,103124,0.03478068609182807,0.05065411598058423,0.3865718336045121,4.510874581716841,stage5_delta_diagnostic_only
positive_premium_implied_delta,stress_holdout,strict_interior,103124,0.03478068609182807,0.05065411598058423,0.3865718336045121,4.510874581716841,stage5_delta_diagnostic_only
positive_premium_implied_delta,stress_holdout,boundary_near,6341,0.012088751710748144,0.018641229427703635,0.2384390752858071,0.012391873991138315,stage5_delta_diagnostic_only
positive_premium_implied_delta,stress_holdout,payoff_kink_near,14520,0.12103106653495654,0.14560062943350577,0.41522194380917316,2.7761750581151143,stage5_delta_diagnostic_only
positive_premium_implied_delta,stress_holdout,maturity_row,1032,0.03780895836914637,0.0618798429820377,0.3108216138542994,184.51575507257002,stage5_delta_diagnostic_only
supervised_delta_head,train,all_allowed,861030,0.025284132041609342,0.040715612813830154,0.396238378363438,10.795013121065793,stage5_delta_diagnostic_only
supervised_delta_head,train,strict_interior,861030,0.025284132041609342,0.040715612813830154,0.396238378363438,10.795013121065793,stage5_delta_diagnostic_only
