arm,boundary_conditional_mae,boundary_conditional_rmse,boundary_false_count,boundary_found_rate,boundary_missed_count,boundary_predicted_found,boundary_reference_found,delta_rmse,mae,max_abs_error,network_spec,normalized_lcp_residual_max,reference_source,regime_id,region,relative_l2,rmse,runtime_seconds,sample_count,scaled_gamma_rmse,seed,solver_converged,split,total_lcp_iterations,variant
B,nan,nan,0,1.0,0,0,0,0.0011987752532322442,1.1252477148748996e-05,0.00022857999702927123,not_applicable,3.438030540054691e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r010_q000,strict_interior,8.826906910546098e-05,3.416290837280806e-05,0.020978700002160622,4560,0.024710411965322122,deterministic,True,test,120,CN+Policy Iteration
A,nan,nan,0,1.0,0,0,0,0.0006370527607410424,7.254869441199906e-05,0.0028920627708639273,not_applicable,7.112865887199637e-13,DIRK_policy_sinh_M480_N960,call_T025_s040_r001_q000,all,0.00046416840608551064,0.00016624050381224115,0.24716410000110045,5203,0.011515573533942572,deterministic,True,test,2160,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0006370527607410424,6.020838248746683e-08,8.594437253934784e-07,not_applicable,7.112865887199637e-13,DIRK_policy_sinh_M480_N960,call_T025_s040_r001_q000,exercise_region,1.675746800164262e-06,1.4146158010827454e-07,0.24716410000110045,764,0.011515573533942572,deterministic,True,test,2160,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0006370527607410424,8.50247483265174e-05,0.0028920627708639273,not_applicable,7.112865887199637e-13,DIRK_policy_sinh_M480_N960,call_T025_s040_r001_q000,continuation_region,0.0004660733593064103,0.00017997872204522728,0.24716410000110045,4439,0.011515573533942572,deterministic,True,test,2160,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0006370527607410424,0.0003854687167498203,0.0028920627708639273,not_applicable,7.112865887199637e-13,DIRK_policy_sinh_M480_N960,call_T025_s040_r001_q000,payoff_kink_near,0.006907378052786332,0.0004500893788472644,0.24716410000110045,605,0.011515573533942572,deterministic,True,test,2160,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0006370527607410424,0.0,0.0,not_applicable,7.112865887199637e-13,DIRK_policy_sinh_M480_N960,call_T025_s040_r001_q000,maturity_row,0.0,0.0,0.24716410000110045,43,0.011515573533942572,deterministic,True,test,2160,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0006370527607410424,3.1636465656138133e-05,0.00025400161778904584,not_applicable,7.112865887199637e-13,DIRK_policy_sinh_M480_N960,call_T025_s040_r001_q000,strict_interior,0.00017942877777340244,6.823020029647418e-05,0.24716410000110045,4560,0.011515573533942572,deterministic,True,test,2160,CN+PSOR
B,nan,nan,0,1.0,0,0,0,0.0006370527607399464,7.254869441215344e-05,0.0028920627708636445,not_applicable,4.775891721499177e-16,DIRK_policy_sinh_M480_N960,call_T025_s040_r001_q000,all,0.0004641684060854164,0.00016624050381220743,0.02065500000026077,5203,0.011515573533965958,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0006370527607399464,6.020838248609833e-08,8.594437220187795e-07,not_applicable,4.775891721499177e-16,DIRK_policy_sinh_M480_N960,call_T025_s040_r001_q000,exercise_region,1.675746800016242e-06,1.4146158009577914e-07,0.02065500000026077,764,0.011515573533965958,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0006370527607399464,8.502474832669856e-05,0.0028920627708636445,not_applicable,4.775891721499177e-16,DIRK_policy_sinh_M480_N960,call_T025_s040_r001_q000,continuation_region,0.0004660733593063158,0.00017997872204519083,0.02065500000026077,4439,0.011515573533965958,deterministic,True,test,120,CN+Policy Iteration
