representation,mode,singular_value,cumulative_energy
oracle_boundary_aligned,88,0.11721256025188104,0.9994195822690745
oracle_boundary_aligned,89,0.11367318411171592,0.999438604034538
oracle_boundary_aligned,90,0.11227198845509499,0.9994571597455919
oracle_boundary_aligned,91,0.11139231809449836,0.9994754258213974
oracle_boundary_aligned,92,0.10927736467904878,0.9994930048631733
oracle_boundary_aligned,93,0.10859311320170055,0.9995103644482202
oracle_boundary_aligned,94,0.1058076759756811,0.999526844900379
oracle_boundary_aligned,95,0.10432362266925208,0.9995428662866553
oracle_boundary_aligned,96,0.10314800619900849,0.9995585286194433
oracle_boundary_aligned,97,0.10306600818876889,0.9995741660604335
oracle_boundary_aligned,98,0.10014762537085203,0.9995889304700054
oracle_boundary_aligned,99,0.09839380867188374,0.9996031822895798
oracle_boundary_aligned,100,0.09722905826510991,0.9996170986904611
oracle_boundary_aligned,101,0.09675691745458855,0.999630880264412
oracle_boundary_aligned,102,0.09471556923925747,0.9996440864537509
oracle_boundary_aligned,103,0.09363311844054695,0.9996569925157659
oracle_boundary_aligned,104,0.09280294472219947,0.9996696707358375
oracle_boundary_aligned,105,0.09089983843600151,0.9996818343040428
oracle_boundary_aligned,106,0.08938958224542817,0.9996935970464741
oracle_boundary_aligned,107,0.08855106448147007,0.9997051401434588
oracle_boundary_aligned,108,0.08623417764474509,0.9997160871058086
oracle_boundary_aligned,109,0.08508927729317364,0.9997267453199591
oracle_boundary_aligned,110,0.08384316450869894,0.999737093645807
oracle_boundary_aligned,111,0.08312169939488499,0.9997472646445206
oracle_boundary_aligned,112,0.08278198601373488,0.9997573526766023
oracle_boundary_aligned,113,0.08081880564934764,0.9997669679055194
oracle_boundary_aligned,114,0.08042121407376657,0.9997764887620826
oracle_boundary_aligned,115,0.0788588209961165,0.9997856432768913
oracle_boundary_aligned,116,0.07823739208027025,0.99979465408006
oracle_boundary_aligned,117,0.07706344657922919,0.9998033964992981
oracle_boundary_aligned,118,0.07468810052348425,0.9998116082848842
oracle_boundary_aligned,119,0.07332907184718543,0.9998195239451823
oracle_boundary_aligned,120,0.07269887032829098,0.9998273041332805
oracle_boundary_aligned,121,0.07162337368573814,0.9998348558261667
oracle_boundary_aligned,122,0.07107468521981196,0.999842292259039
oracle_boundary_aligned,123,0.07015264452321762,0.9998495370000781
oracle_boundary_aligned,124,0.06856653691342782,0.9998564578463451
oracle_boundary_aligned,125,0.06794375117783107,0.9998632535403189
oracle_boundary_aligned,126,0.06544229018634334,0.9998695580563105
oracle_boundary_aligned,127,0.06381823486660605,0.9998755535416871
oracle_boundary_aligned,128,0.0633303173220471,0.9998814577014443
oracle_boundary_aligned,129,0.062324788078786456,0.9998871758626268
oracle_boundary_aligned,130,0.06163437262345506,0.9998927680373404
oracle_boundary_aligned,131,0.06089567239791646,0.9998982269686876
oracle_boundary_aligned,132,0.06050423885095984,0.9999036159462551
oracle_boundary_aligned,133,0.060278351236384656,0.9999089647603246
oracle_boundary_aligned,134,0.05954933680297919,0.999914184978211
oracle_boundary_aligned,135,0.05920784626371355,0.9999193454962341
oracle_boundary_aligned,136,0.05875964169012328,0.9999244281795335
oracle_boundary_aligned,137,0.05746663736708099,0.9999292896353476
oracle_boundary_aligned,138,0.05703518330065823,0.9999340783664962
oracle_boundary_aligned,139,0.056005006974342686,0.9999386956706479
oracle_boundary_aligned,140,0.05525485196027271,0.9999431901109005
oracle_boundary_aligned,141,0.05369530606123236,0.9999474344240243
oracle_boundary_aligned,142,0.05079576092278463,0.9999512327279556
oracle_boundary_aligned,143,0.050425322328631186,0.99995497583406
oracle_boundary_aligned,144,0.04709242808854229,0.9999582404863966
oracle_boundary_aligned,145,0.0462778508688047,0.9999613931754334
oracle_boundary_aligned,146,0.045100446540343946,0.9999643874833312
oracle_boundary_aligned,147,0.04503493750762559,0.9999673730989977
oracle_boundary_aligned,148,0.04372777440989632,0.999970187911814
oracle_boundary_aligned,149,0.042983997108987045,0.9999729077832042
oracle_boundary_aligned,150,0.04213610682951513,0.9999755214100658
oracle_boundary_aligned,151,0.04147850077257294,0.999978054093287
oracle_boundary_aligned,152,0.040806664001849846,0.9999805053960586
oracle_boundary_aligned,153,0.03916012753549015,0.9999827628711504
oracle_boundary_aligned,154,0.036388863089351256,0.9999847121400155
oracle_boundary_aligned,155,0.035072006017258316,0.9999865228795595
oracle_boundary_aligned,156,0.034354282980910665,0.999988260266487
oracle_boundary_aligned,157,0.03363401774428811,0.999989925565674
oracle_boundary_aligned,158,0.03308631513691537,0.9999915370703721
oracle_boundary_aligned,159,0.032733848892301264,0.9999931144234538
oracle_boundary_aligned,160,0.0294533419271554,0.9999943914617773
oracle_boundary_aligned,161,0.02725123454379701,0.9999954846806873
oracle_boundary_aligned,162,0.026965298856951946,0.9999965550785863
oracle_boundary_aligned,163,0.024727014000750367,0.9999974551523892
oracle_boundary_aligned,164,0.024305842674054397,0.9999983248256895
oracle_boundary_aligned,165,0.018322479677716393,0.9999988190262906
oracle_boundary_aligned,166,0.018059346661760824,0.9999992991341788
oracle_boundary_aligned,167,0.012212247858372667,0.999999518680413
oracle_boundary_aligned,168,0.008915020093561076,0.999999635678679
oracle_boundary_aligned,169,0.007952948486317998,0.9999997287875608
oracle_boundary_aligned,170,0.006374293766997574,0.9999997886010201
oracle_boundary_aligned,171,0.00562062936293196,0.9999998351065577
oracle_boundary_aligned,172,0.005451548745605634,0.9999998788562066
oracle_boundary_aligned,173,0.0048624068691297175,0.999999913660864
oracle_boundary_aligned,174,0.004360113488185784,0.9999999416461893
oracle_boundary_aligned,175,0.004147872232000988,0.9999999669732922
oracle_boundary_aligned,176,0.0031902616433394718,0.9999999819558988
oracle_boundary_aligned,177,0.002388492776820128,0.9999999903540295
oracle_boundary_aligned,178,0.0015226823368469072,0.9999999937671641
oracle_boundary_aligned,179,0.001323603293579121,0.9999999963461587
oracle_boundary_aligned,180,0.0010154482255304252,0.9999999978640838
oracle_boundary_aligned,181,0.0007877496752787724,0.9999999987775895
oracle_boundary_aligned,182,0.0007122005663769942,0.9999999995242779
oracle_boundary_aligned,183,0.00048266004678149105,0.9999999998672173
oracle_boundary_aligned,184,0.00020094653176455938,0.9999999999266597
oracle_boundary_aligned,185,0.00016570731403268312,0.9999999999670817
oracle_boundary_aligned,186,0.00013104688079029924,0.9999999999923623
oracle_boundary_aligned,187,6.204505954848906e-05,0.9999999999980292
oracle_boundary_aligned,188,3.511040368940095e-05,0.9999999999998439
oracle_boundary_aligned,189,1.0194644798771317e-05,0.9999999999999968
oracle_boundary_aligned,190,1.2507813772246516e-06,0.9999999999999991
oracle_boundary_aligned,191,1.721319106415699e-07,0.9999999999999991
oracle_boundary_aligned,192,3.045636617455511e-08,0.9999999999999991
oracle_boundary_aligned,193,1.8142544295694655e-08,0.9999999999999991
oracle_boundary_aligned,194,1.363388777684036e-08,0.9999999999999991
oracle_boundary_aligned,195,9.365962151893722e-09,0.9999999999999991
oracle_boundary_aligned,196,6.979566680797954e-09,0.9999999999999991
oracle_boundary_aligned,197,4.894382283353797e-09,0.9999999999999991
oracle_boundary_aligned,198,3.4192264655945918e-09,0.9999999999999991
oracle_boundary_aligned,199,1.1239820157791806e-09,0.9999999999999991
oracle_boundary_aligned,200,8.270243366691548e-10,0.9999999999999991
oracle_boundary_aligned,201,4.730966587497995e-10,0.9999999999999991
oracle_boundary_aligned,202,7.763765167921901e-15,0.9999999999999991
