representation,modes,split,region,row_count,premium_mae,premium_rmse,premium_max_abs_error,raw_negative_premium_rate,projected_negative_premium_rate
oracle_boundary_aligned,8,stress_holdout,all,124872,0.02920252932249553,0.05565281320282995,0.31662175205204346,0.09576206034979819,0.0
oracle_boundary_aligned,8,stress_holdout,boundary_near,6341,0.0009168658559562093,0.0015352790980991445,0.007191043756161095,0.36287651789938496,0.0
oracle_boundary_aligned,8,stress_holdout,strict_interior,103124,0.02768170474240823,0.0519810605834462,0.2842957133530575,0.08855358597416703,0.0
oracle_boundary_aligned,16,train,all,1051006,0.014128514874424335,0.03377532201918283,0.3084900902591061,0.16329973377887472,0.0
oracle_boundary_aligned,16,train,boundary_near,64834,0.0008068303526858506,0.0013967984391383928,0.014015132138943953,0.290526575562205,0.0
oracle_boundary_aligned,16,train,strict_interior,861030,0.013440775112051327,0.031697506290640456,0.27663958825487256,0.17180586042298177,0.0
oracle_boundary_aligned,16,validation,all,98857,0.009312147918793557,0.021689567485397923,0.1277113518798392,0.20590347673912823,0.0
oracle_boundary_aligned,16,validation,boundary_near,8027,0.000612048266582153,0.0010535348377064507,0.007394793680540754,0.341846268842656,0.0
oracle_boundary_aligned,16,validation,strict_interior,78983,0.009864031806142301,0.02285017147601339,0.1277113518798392,0.2169834014914602,0.0
oracle_boundary_aligned,16,test,all,223729,0.006069621983810283,0.017442802009679584,0.19071191909836002,0.12661300054977226,0.0
oracle_boundary_aligned,16,test,boundary_near,2219,0.0008792989236558936,0.001277177172386985,0.005424289672329446,0.24109959441189724,0.0
oracle_boundary_aligned,16,test,strict_interior,193872,0.005870572621359356,0.018031346529163907,0.19071191909836002,0.13596084014194934,0.0
oracle_boundary_aligned,16,stress_holdout,all,124872,0.028215896523352886,0.0557608028936008,0.31361637932173936,0.08029021718239478,0.0
oracle_boundary_aligned,16,stress_holdout,boundary_near,6341,0.00048557407925432555,0.0008106971376725149,0.005296482183834193,0.3918940230247595,0.0
oracle_boundary_aligned,16,stress_holdout,strict_interior,103124,0.026899616695285483,0.05221574116223084,0.2812903406227534,0.06814126682440556,0.0
oracle_boundary_aligned,24,train,all,1051006,0.013766969342238054,0.033607883326678294,0.30299574687694264,0.15722555342214983,0.0
oracle_boundary_aligned,24,train,boundary_near,64834,0.0006796246859389553,0.001197958582429624,0.012818816831689641,0.2976061942807786,0.0
oracle_boundary_aligned,24,train,strict_interior,861030,0.013107728798541718,0.03156719742661626,0.2711452448727091,0.16370509738336644,0.0
oracle_boundary_aligned,24,validation,all,98857,0.008994034879319213,0.021672340982491895,0.13552526913603544,0.20246416541064366,0.0
oracle_boundary_aligned,24,validation,boundary_near,8027,0.0004930772008305151,0.0009255937042403558,0.0066635332963353566,0.38694406378472657,0.0
oracle_boundary_aligned,24,validation,strict_interior,78983,0.009586835280319395,0.02291804497833631,0.13552526913603544,0.2079814643657496,0.0
oracle_boundary_aligned,24,test,all,223729,0.005463346717766076,0.017217032470454266,0.19986467034462158,0.13783640028784824,0.0
oracle_boundary_aligned,24,test,boundary_near,2219,0.0008575065537456245,0.0014391534660455163,0.007437412860466285,0.27129337539432175,0.0
oracle_boundary_aligned,24,test,strict_interior,193872,0.0053380713985138805,0.017924133007842662,0.19986467034462158,0.14753032928942808,0.0
oracle_boundary_aligned,24,stress_holdout,all,124872,0.02753742307373301,0.05496435152705548,0.3084606842519696,0.07405182907297073,0.0
oracle_boundary_aligned,24,stress_holdout,boundary_near,6341,0.00037342519470991945,0.000578753580920159,0.0045282395858922955,0.3576722914366819,0.0
oracle_boundary_aligned,24,stress_holdout,strict_interior,103124,0.02626533494796757,0.05141027235440496,0.2761346455529836,0.06280788177339902,0.0
oracle_boundary_aligned,32,train,all,1051006,0.013609208161505378,0.033641624481302417,0.30058113898932654,0.1507536588754013,0.0
oracle_boundary_aligned,32,train,boundary_near,64834,0.0005146847773908398,0.0009663916438389656,0.011547265437542309,0.27055248789215536,0.0
oracle_boundary_aligned,32,train,strict_interior,861030,0.012984306877953258,0.031622285176782054,0.268730636985093,0.15779008861479857,0.0
oracle_boundary_aligned,32,validation,all,98857,0.008873307018969009,0.02173816095277662,0.13617686136842302,0.1942603963300525,0.0
oracle_boundary_aligned,32,validation,boundary_near,8027,0.0003773565861654011,0.0007272791962877562,0.006132024264746974,0.33187990531954653,0.0
oracle_boundary_aligned,32,validation,strict_interior,78983,0.009508692490213319,0.023034092471871406,0.13617686136842302,0.20341086056493168,0.0
oracle_boundary_aligned,32,test,all,223729,0.005030114633622372,0.017045219422365816,0.20031447255445387,0.1347031453231365,0.0
oracle_boundary_aligned,32,test,boundary_near,2219,0.000566636091933082,0.000934681064640801,0.004301677832121064,0.2830103650292925,0.0
oracle_boundary_aligned,32,test,strict_interior,193872,0.00494586750987759,0.01777845063840496,0.20031447255445387,0.1425837666088966,0.0
oracle_boundary_aligned,32,stress_holdout,all,124872,0.027314825556814953,0.054802224843269846,0.30612647936663206,0.06888653981677237,0.0
oracle_boundary_aligned,32,stress_holdout,boundary_near,6341,0.00024983937907439277,0.00039475199842298886,0.004470674594279646,0.2644693266046365,0.0
oracle_boundary_aligned,32,stress_holdout,strict_interior,103124,0.026068807297231652,0.05123478166565376,0.2738004406676461,0.06189635778286335,0.0
oracle_boundary_aligned,48,train,all,1051006,0.013449063510439447,0.03365651909545224,0.3024021605833938,0.14565283166794482,0.0
oracle_boundary_aligned,48,train,boundary_near,64834,0.00040266898934193646,0.0008118883619968775,0.010159951909005083,0.26870160718141717,0.0
