case_name,case_family,sweep_name,stress_parameter,stress_value,option_type,K,T,r,q,sigma,Smax,M,N,dS,dtau,solver_name,solver_variant,premium_threshold,interpretation_lower_moneyness,interpretation_upper_moneyness,is_heatmap_case,runtime_seconds,all_psor_steps_converged,psor_step_count,max_psor_iterations,mean_psor_iterations,max_final_update,max_obstacle_violation,max_equation_violation,max_abs_complementarity_product,boundary_found_count,boundary_status,min_boundary_spot,max_boundary_spot,max_continuation_premium,max_abs_gamma,max_abs_gamma_strict,boundary_near_node_count,strict_negative_gamma_count,acceptance_status,downstream_use_status
call_heatmap_q_030_sigma_600,dividend_call,call_q_sigma_heatmap,q_sigma,0.03,call,1,1,0.05,0.03,0.6,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,True,0.155335000018,True,120,33,22.525,9.9770087747e-09,0,3.27964251312e-08,2.54694776548e-10,120,BOUNDARIES_FOUND,1.69176016193,3.46548839177,0.236886608448,30,2.74677381511,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
call_heatmap_q_080_sigma_200,dividend_call,call_q_sigma_heatmap,q_sigma,0.08,call,1,1,0.05,0.08,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,True,0.0515060408507,True,120,10,7.35,9.4308899403e-09,0,2.14416621448e-09,2.37960951462e-11,120,BOUNDARIES_FOUND,1.0661653907,1.26663012494,0.0651311767989,30,2.6798873723,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
call_heatmap_q_080_sigma_400,dividend_call,call_q_sigma_heatmap,q_sigma,0.08,call,1,1,0.05,0.08,0.4,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,True,0.064363084035,True,120,13,9.25,9.88939782842e-09,0,6.38461955527e-09,1.40132385843e-10,120,BOUNDARIES_FOUND,1.09990188658,1.73305843928,0.139830931381,30,2.60916787542,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
call_heatmap_q_080_sigma_600,dividend_call,call_q_sigma_heatmap,q_sigma,0.08,call,1,1,0.05,0.08,0.6,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,True,0.10264500021,True,120,18,14.9166666667,9.9799164488e-09,0,1.27232715474e-08,3.44462194175e-10,120,BOUNDARIES_FOUND,1.16623149207,2.3660336615,0.213362270473,30,2.70621566073,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
call_heatmap_q_100_sigma_200,dividend_call,call_q_sigma_heatmap,q_sigma,0.1,call,1,1,0.05,0.1,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,True,0.0520017079543,True,120,10,7.45833333333,9.90374446341e-09,0,2.22796307792e-09,3.15002441002e-11,120,BOUNDARIES_FOUND,1.03332536396,1.23321138817,0.058991496594,30,2.88328962602,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
call_heatmap_q_100_sigma_400,dividend_call,call_q_sigma_heatmap,q_sigma,0.1,call,1,1,0.05,0.1,0.4,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,True,0.064725541044,True,120,13,9.275,9.797427869e-09,0,6.41097658294e-09,1.62840110148e-10,120,BOUNDARIES_FOUND,1.09983987657,1.6331118829,0.132409350028,30,2.57910796145,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
call_heatmap_q_100_sigma_600,dividend_call,call_q_sigma_heatmap,q_sigma,0.1,call,1,1,0.05,0.1,0.6,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,True,0.0955211250111,True,120,16,13.8916666667,9.96687954391e-09,0,1.00904365974e-08,3.43702858337e-10,120,BOUNDARIES_FOUND,1.13326573453,2.19872592998,0.205181962234,30,2.69064614994,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
call_heatmap_q_140_sigma_200,dividend_call,call_q_sigma_heatmap,q_sigma,0.14,call,1,1,0.05,0.14,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,True,0.0524042919278,True,120,10,7.5,9.97238755462e-09,0,1.94389848662e-09,3.3600850802e-11,120,BOUNDARIES_FOUND,1.0333250766,1.16664700071,0.048945019942,30,2.16470030611,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
call_heatmap_q_140_sigma_400,dividend_call,call_q_sigma_heatmap,q_sigma,0.14,call,1,1,0.05,0.14,0.4,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,True,0.0642220419832,True,120,13,9.33333333333,9.64695445749e-09,0,4.66312030656e-09,1.9475967342e-10,120,BOUNDARIES_FOUND,1.06665098107,1.49989876,0.119305430141,30,2.52218633196,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
call_heatmap_q_140_sigma_600,dividend_call,call_q_sigma_heatmap,q_sigma,0.14,call,1,1,0.05,0.14,0.6,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,True,0.08659062488,True,120,15,12.6583333333,9.98466564983e-09,0,8.07352606991e-09,4.73251504345e-10,120,BOUNDARIES_FOUND,1.13320986412,1.96622778939,0.190332596117,30,2.66054094947,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
