regime_id,option_type,method,M,N,reference_N,evaluation_nodes,runtime_seconds,converged,max_obstacle_violation,value_max_error,delta_max_error,gamma_max_error,value_rmse,delta_rmse,gamma_rmse,boundary_found,reference_boundary_found,boundary_abs_error,delta_empirical_order,gamma_empirical_order
call_T100_s020_r005_q000,call,rannacher_cn_quadratic,240,120,960,20,0.022292040986940265,True,0.0,3.2307545108634095e-07,4.2774867600181565e-06,5.581757355077599e-05,1.8935454354440602e-07,2.9125971604529383e-06,2.6245650012117757e-05,False,False,nan,2.0036381405111663,2.005711696123291
call_T100_s020_r005_q000,call,rannacher_cn_quadratic,240,240,960,20,0.04838641709648073,True,0.0,7.900982029740433e-08,1.0456845570550044e-06,1.3640370283285463e-05,4.6304084151650836e-08,7.120194650188027e-07,6.414418988134162e-06,False,False,nan,2.0323156777637337,2.0328366017979542
call_T100_s020_r005_q000,call,rannacher_cn_quadratic,240,480,960,20,0.09411595808342099,True,0.0,1.7903609900171702e-08,2.3692726136559372e-07,3.0902626708684267e-06,1.0492297728819715e-08,1.6132686455412216e-07,1.4532407828560336e-06,False,False,nan,2.141931598556978,2.1420814316311767
call_T100_s020_r005_q000,call,dirk_lstable_quadratic,240,60,960,20,0.023285957984626293,True,0.0,6.259160452715129e-07,8.328488103559462e-06,0.00010926246126619077,3.6706987082337306e-07,5.669449515561404e-06,5.1349678881410214e-05,False,False,nan,nan,nan
call_T100_s020_r005_q000,call,dirk_lstable_quadratic,240,120,960,20,0.04473595798481256,True,0.0,1.5569983136121124e-07,2.063907479088467e-06,2.697249782279698e-05,9.125994846382777e-08,1.4051622348654118e-06,1.2682559472572274e-05,False,False,nan,2.012676323395139,2.0182367914273764
call_T100_s020_r005_q000,call,dirk_lstable_quadratic,240,240,960,20,0.0958373750327155,True,0.0,3.710917881316611e-08,4.913705423659209e-07,6.4138570643468285e-06,2.1748056778201262e-08,3.345590339454482e-07,3.016166098953537e-06,False,False,nan,2.0704950231052175,2.0722250222362506
call_T100_s020_r005_q000,call,dirk_lstable_quadratic,240,480,960,20,0.18814149999525398,True,0.0,7.42137196141357e-09,9.82343548172615e-08,1.2817268684184313e-06,4.3492281598692736e-09,6.688664066445576e-08,6.027563130105318e-07,False,False,nan,2.3225118092178185,2.323103341674371
call_T100_s020_r005_q000,call,lobatto_iiic_penalty_quadratic,240,60,960,20,0.06405220797751099,True,0.0,2.5451561037961867e-06,3.236083264523959e-05,0.0004315984628626701,1.3856481999327342e-06,2.161849572416491e-05,0.0001991909013533053,False,False,nan,nan,nan
call_T100_s020_r005_q000,call,lobatto_iiic_penalty_quadratic,240,120,960,20,0.10537616699002683,True,0.0,6.263032381326195e-07,8.405353365603663e-06,0.00010932419101861157,3.7055071712676203e-07,5.714007970228641e-06,5.127739788270231e-05,False,False,nan,1.9448683513049378,1.9810770539307758
call_T100_s020_r005_q000,call,lobatto_iiic_penalty_quadratic,240,240,960,20,0.20486841606907547,True,0.0,1.633971236369991e-07,2.1595818874842188e-06,2.8064073277711543e-05,9.582690756349594e-08,1.4709022487925764e-06,1.3193962013580326e-05,False,False,nan,1.9605564504177884,1.9618163477341048
call_T100_s020_r005_q000,call,lobatto_iiic_penalty_quadratic,240,480,960,20,0.4034669160610065,True,0.0,4.299031153287558e-08,5.682581157850919e-07,7.39765955981575e-06,2.5196752736508026e-08,3.8701360402174584e-07,3.478601486500053e-06,False,False,nan,1.926133733321596,1.9235836056035518
put_T025_s020_r001_q000,put,cn_quadratic,240,60,960,16,0.013108915998600423,True,0.0,8.592213850411312e-07,1.5363702497883658e-05,0.0005850678882368676,4.807548718938432e-07,8.580097099842926e-06,0.0002276235561500393,True,True,0.00013993949670831896,nan,nan
put_T025_s020_r001_q000,put,cn_quadratic,240,120,960,16,0.02530379092786461,True,0.0,1.9939671194735276e-07,3.7956014157236595e-06,0.00014518601570978618,1.1008499773896954e-07,2.2013752561715774e-06,5.4857467108900835e-05,True,True,3.929100903055094e-05,2.0171255280498976,2.010701537337523
put_T025_s020_r001_q000,put,cn_quadratic,240,240,960,16,0.04897820798214525,True,0.0,4.724650204401826e-08,9.180566221678177e-07,2.351802432798422e-05,2.6860634332783155e-08,5.228140450324447e-07,1.1821364015211089e-05,True,True,1.730069365724063e-05,2.0476734584766807,2.6260637256025494
put_T025_s020_r001_q000,put,cn_quadratic,240,480,960,16,0.09622579207643867,True,0.0,1.062014186314908e-08,2.0234407360764095e-07,8.249565730533703e-06,6.059159308566267e-09,1.1794305050289134e-07,3.0989886419853264e-06,True,True,1.665412486140383e-06,2.18177254122981,1.5113767883431306
put_T025_s020_r001_q000,put,rannacher_cn_quadratic,240,60,960,16,0.013130791950970888,True,0.0,8.73675780110883e-07,1.5218827362883935e-05,0.0005836728015906623,4.912325119355743e-07,8.458851635866648e-06,0.0002271258569190578,True,True,0.00014015633097241853,nan,nan
put_T025_s020_r001_q000,put,rannacher_cn_quadratic,240,120,960,16,0.024663583026267588,True,0.0,2.018005031412251e-07,3.746065582732605e-06,0.00014485367385574932,1.1253487666223477e-07,2.170807019948516e-06,5.472939851622779e-05,True,True,3.9335802593964964e-05,2.0224091386455423,2.0105635665650157
put_T025_s020_r001_q000,put,rannacher_cn_quadratic,240,240,960,16,0.047024125000461936,True,0.0,4.745854495502577e-08,9.156583299363419e-07,2.3496853363003112e-05,2.7018951425116432e-08,5.209272866503541e-07,1.1814336020716386e-05,True,True,1.7303414870162293e-05,2.0324948826559006,2.6240568025686173
put_T025_s020_r001_q000,put,rannacher_cn_quadratic,240,480,960,16,0.09575475007295609,True,0.0,1.063339162554744e-08,2.0214956297781583e-07,8.248232497010122e-06,6.069120367346551e-09,1.1782861052530837e-07,3.0985117712210524e-06,True,True,1.6655929790942992e-06,2.179386284749242,1.510310663437657
put_T025_s020_r001_q000,put,dirk_lstable_quadratic,240,60,960,16,0.023828875040635467,True,0.0,5.401263520332655e-07,7.792555990038252e-06,0.0003167420002281318,3.0160037567161675e-07,4.088743678166056e-06,0.00012010677931923757,True,True,7.57866847332922e-05,nan,nan
put_T025_s020_r001_q000,put,dirk_lstable_quadratic,240,120,960,16,0.04806004196871072,True,0.0,1.1875228675406468e-07,1.8739543554691096e-06,7.620785482664871e-05,6.347582062474955e-08,1.0634151148254135e-06,2.7495448214224623e-05,True,True,2.5429692173006835e-05,2.0560108025276227,2.0552965718559926
put_T025_s020_r001_q000,put,dirk_lstable_quadratic,240,240,960,16,0.09524787496775389,True,0.0,2.6436705269361482e-08,4.482010391715363e-07,1.0940861516761657e-05,1.4736415618003214e-08,2.4356338396379144e-07,5.1830638373794746e-06,True,True,1.3909418639435067e-05,2.063867914311673,2.800213360727229
put_T025_s020_r001_q000,put,dirk_lstable_quadratic,240,480,960,16,0.1926752090221271,True,0.0,5.373027078814374e-09,8.499227399649811e-08,3.855008012809691e-06,2.997248924570569e-09,4.8313130742114826e-08,1.3686872190987003e-06,True,True,7.285324509220814e-07,2.3987423859459196,1.5049205808419612
put_T025_s020_r001_q000,put,lobatto_iiic_penalty_quadratic,240,60,960,16,0.18619412498082966,False,0.0,2.6726005548233234e-06,3.258627197766373e-05,0.0009141412637858615,1.489069482262395e-06,1.6173629445940305e-05,0.00040431513536311317,True,True,0.0005382905806246008,nan,nan
put_T025_s020_r001_q000,put,lobatto_iiic_penalty_quadratic,240,120,960,16,0.6927220000652596,False,0.0,7.382891961393856e-07,8.882917229557918e-06,0.0002558766716509453,4.0289796090127095e-07,4.361099762417037e-06,0.00011094750358510625,True,True,0.0001881213542656024,1.875158856964678,1.8369685021453457
put_T025_s020_r001_q000,put,lobatto_iiic_penalty_quadratic,240,240,960,16,2.3562347079860047,False,0.0,1.8573317200898387e-07,2.283035988814852e-06,6.655133114596978e-05,1.0066293958746127e-07,1.1322753209986603e-06,2.9966128808243816e-05,True,True,4.506960060990384e-05,1.9600799465841507,1.9429091944285333
put_T025_s020_r001_q000,put,lobatto_iiic_penalty_quadratic,240,480,960,16,9.52554937498644,False,0.0,6.272834486564793e-08,6.59794430202254e-07,2.3320211761657106e-05,3.380894833102726e-08,3.2063108160351546e-07,9.43246796845705e-06,True,True,1.8912486794753214e-05,1.7908650975331395,1.5128866337704978
call_T025_s020_r001_q000,call,cn_quadratic,240,60,960,20,0.011959665920585394,True,0.0,4.354399216754956e-07,1.3745668794029609e-05,0.0002977723183152925,3.009916646269322e-07,8.025882267108146e-06,0.00015758292727034183,False,False,nan,nan,nan
call_T025_s020_r001_q000,call,cn_quadratic,240,120,960,20,0.023695792071521282,True,0.0,1.0821530482818531e-07,3.416782155207798e-06,7.399645563932467e-05,7.480706874600619e-08,1.994822334608534e-06,3.9164240849634236e-05,False,False,nan,2.008266929253062,2.008681569719222
call_T025_s020_r001_q000,call,cn_quadratic,240,240,960,20,0.04724354192148894,True,0.0,2.643202900998176e-08,8.346055402896901e-07,1.8073537690010966e-05,1.827223421516947e-08,4.872572917110251e-07,9.566106625457198e-06,False,False,nan,2.0334718657008612,2.0335772436254573
call_T025_s020_r001_q000,call,cn_quadratic,240,480,960,20,0.09517587500158697,True,0.0,5.987639384308352e-09,1.8906424298359426e-07,4.09412613189275e-06,4.139232430963802e-09,1.1037852891684524e-07,2.1669818343250177e-06,False,False,nan,2.1422179600065983,2.1422514703078313
call_T025_s020_r001_q000,call,rannacher_cn_quadratic,240,60,960,20,0.012036500032991171,True,0.0,4.341121519757518e-07,1.3689077839385e-05,0.0002969047428398319,2.998528128188638e-07,7.995102668602627e-06,0.00015715186420806908,False,False,nan,nan,nan
call_T025_s020_r001_q000,call,rannacher_cn_quadratic,240,120,960,20,0.023967375047504902,True,0.0,1.0813221082428548e-07,3.4132407043530044e-06,7.394213615929957e-05,7.473574813580978e-08,1.9928954232980836e-06,3.9137237257735575e-05,False,False,nan,2.003811200053202,2.0055315113913323
call_T025_s020_r001_q000,call,rannacher_cn_quadratic,240,240,960,20,0.047645249986089766,True,0.0,2.642683402664936e-08,8.343841289004672e-07,1.8070141219350688e-05,1.826777445864438e-08,4.871368099318692e-07,9.564417925680029e-06,False,False,nan,2.0323585367389154,2.0327889420169596
call_T025_s020_r001_q000,call,rannacher_cn_quadratic,240,480,960,20,0.09665550000499934,True,0.0,5.98731444978462e-09,1.8905040444217036e-07,4.093913840819141e-06,4.138953586755098e-09,1.1037099774410492e-07,2.166876280563003e-06,False,False,nan,2.1419407803972366,2.142055135701626
