regime_id,option_type,grid,M,N,reference_M,query_nodes,runtime_seconds,converged,max_obstacle_violation,value_max_error,delta_max_error,gamma_max_error,value_rmse,delta_rmse,gamma_rmse,boundary_abs_error,local_grid_spacing,boundary_consistent,delta_empirical_order,gamma_empirical_order
call_T100_s020_r005_q006,call,sinh_strike_concentrated,240,960,960,36,0.4928187080658972,True,0.0,6.0983041515194625e-06,6.53876173271617e-05,0.0003578456860322543,3.674747386428069e-06,2.444910876119582e-05,0.0001527683779365885,0.004136642103693244,0.01065347203652034,True,2.08740325196203,2.0732589280350804
call_T100_s020_r005_q006,call,sinh_strike_concentrated,480,960,960,36,0.8821394160622731,True,0.0,1.2384339379001297e-06,1.1626327945712944e-05,7.210994846906793e-05,7.407934113379374e-07,4.992499673095522e-06,3.10526262034807e-05,0.0017418620933646878,0.0053441827556668375,True,2.491621944992202,2.3110673713838974
call_T100_s020_r005_q000,call,uniform,120,960,960,36,0.3198484580498189,True,0.0,0.00024007409069514568,0.0013847705244353081,0.013440085909912858,0.00010399391314360707,0.0008429328652909996,0.0054041379312754784,nan,0.033333333333333326,True,nan,nan
call_T100_s020_r005_q000,call,uniform,240,960,960,36,0.49116983299609274,True,0.0,6.806782735638284e-05,0.00034499527037801236,0.003491642273280471,2.7918560523709363e-05,0.00021245375535075144,0.001333460284848392,nan,0.01666666666666672,True,2.004998432735174,1.944564695696093
call_T100_s020_r005_q000,call,uniform,480,960,960,36,0.8724308330565691,True,0.0,1.6798109964369368e-05,8.688535482970217e-05,0.0008003665388822689,6.869940160070362e-06,5.250610730184118e-05,0.00032759495265154,nan,0.008333333333333304,True,1.989391658071433,2.125173000622897
call_T100_s020_r005_q000,call,sinh_strike_concentrated,120,960,960,36,0.3242776250699535,True,0.0,2.6382840810856845e-05,0.0002249670590825925,0.002456128221336895,1.6686786180481694e-05,9.585019650771423e-05,0.0007590061388675307,nan,0.005882255450803009,True,nan,nan
call_T100_s020_r005_q000,call,sinh_strike_concentrated,240,960,960,36,0.49235533305909485,True,0.0,5.747301492442514e-06,5.2888969757913795e-05,0.0005763874828457194,3.8062300453355446e-06,2.3899912061694286e-05,0.00018457972121406274,nan,0.002968973583635126,True,2.088674991520805,2.0912749674873425
call_T100_s020_r005_q000,call,sinh_strike_concentrated,480,960,960,36,0.8777043329318985,True,0.0,1.2123169721434124e-06,8.831742971393552e-06,0.00010836180376982973,7.726158086691745e-07,4.9582525963090925e-06,3.763472952746656e-05,nan,0.0014770108162540652,True,2.5821967815607327,2.4111826917993597
put_T025_s020_r001_q000,put,uniform,120,960,960,32,0.32096745807211846,True,0.0,0.0003542692944151077,0.005156950398146343,0.04967992853492653,0.00014364353556381128,0.0024862311050456638,0.023388685212461048,0.00973098851647547,0.033333333333333326,True,nan,nan
put_T025_s020_r001_q000,put,uniform,240,960,960,32,0.49809654196724296,True,0.0,0.00012748086909493417,0.0013882537989725607,0.016435439966521637,4.011761215375782e-05,0.0006027274105164482,0.0066150876603359,0.008009037173155265,0.016666666666666607,True,1.8932468252315038,1.5958530212431663
put_T025_s020_r001_q000,put,uniform,480,960,960,32,0.8844266249798238,True,0.0,3.223204600125151e-05,0.0002912515779427416,0.002908115715392734,1.0073116142208232e-05,0.00013981796915371326,0.0014201015762140318,0.0012291023321201466,0.008333333333333304,True,2.252933572753056,2.498653495909071
put_T025_s020_r001_q000,put,sinh_strike_concentrated,120,960,960,32,0.3278070839587599,True,0.0,2.50104868770272e-05,0.00058123978032254,0.0037533332710308898,1.095889875531386e-05,0.0002802773940616749,0.0019245171741050816,0.0024083284490449275,0.012442056772293486,True,nan,nan
put_T025_s020_r001_q000,put,sinh_strike_concentrated,240,960,960,32,0.49948245799168944,True,0.0,5.831794551672265e-06,0.00013195500480345235,0.0008207516488654143,2.642002413647872e-06,6.681363365204288e-05,0.000393465928001342,0.0009364042579377285,0.006442426000027979,True,2.139087374680636,2.1931547493919052
put_T025_s020_r001_q000,put,sinh_strike_concentrated,480,960,960,32,0.8884491669014096,True,0.0,1.2596443699774973e-06,3.284521701241161e-05,0.00021778760119772755,4.704141802369078e-07,1.3160602538048816e-05,0.00010300521095788111,0.00036632424943316977,0.0031648173489378095,True,2.006290867635897,1.91402392038921
call_T025_s020_r001_q000,call,uniform,120,960,960,36,0.3224813749548048,True,0.0,0.0003225483527786732,0.0052794420425295654,0.049501032791243293,0.00013625117884645665,0.0026476583548485496,0.022870762079928213,nan,0.033333333333333326,True,nan,nan
call_T025_s020_r001_q000,call,uniform,240,960,960,36,0.49577599996700883,True,0.0,0.00011376509579933552,0.001293090937948424,0.012039830668223672,3.6789458998511646e-05,0.0006569236822129466,0.0057511549822739216,nan,0.01666666666666672,True,2.029561728787021,2.0396435241988673
call_T025_s020_r001_q000,call,uniform,480,960,960,36,0.9905217919731513,True,0.0,2.8246669178409733e-05,0.0003055979784936172,0.0028140460700465386,9.115530038831126e-06,0.00016135236600093472,0.001405810410211889,nan,0.008333333333333304,True,2.0811168325219445,2.0970972488395705
call_T025_s020_r001_q000,call,sinh_strike_concentrated,120,960,960,36,0.3952213330194354,True,0.0,2.359037427861893e-05,0.0005583668543017641,0.003257137563719148,1.0149128736902593e-05,0.00030397027935670273,0.0018018994840476958,nan,0.005882255450803009,True,nan,nan
call_T025_s020_r001_q000,call,sinh_strike_concentrated,240,960,960,36,0.5799865419976413,True,0.0,5.284706152845764e-06,0.0001533069077651432,0.0008250481391600673,2.4293613609454154e-06,7.652114674091676e-05,0.0004176551841431966,nan,0.002968973583635126,True,1.8647905990175564,1.9810544485995918
call_T025_s020_r001_q000,call,sinh_strike_concentrated,480,960,960,36,0.9592438749969006,True,0.0,1.174279711475823e-06,3.24273229224889e-05,0.00018499848437514288,4.482397932128482e-07,1.5076285634702224e-05,0.00010052816479366225,nan,0.0014770108162540652,True,2.2411408736428466,2.1569648475575645
put_T200_s060_r010_q010,put,uniform,120,960,960,36,0.33127199998125434,True,0.0,4.972447853018869e-05,0.0004373012703735024,0.0011589612162283824,2.33106797898312e-05,0.0002486283689029169,0.0005676448203543711,0.009254801538211177,0.033333333333333326,True,nan,nan
